session_id,station_id,vehicle_id,start_time_min,duration_min,energy_kwh,price_per_kwh,total_cost,connector_type,station_zone
1,44,2294,821,96,23.0,7.99,183.77,FAST,Z10
2,62,1654,1322,125,14.28,6.74,96.25,NORMAL,Z15
3,102,288,841,61,7.46,8.03,59.9,FAST,Z15
4,35,2762,1089,60,11.4,11.4,129.96,NORMAL,Z10
5,86,1016,669,112,13.98,9.89,138.26,NORMAL,Z20
6,121,404,869,63,10.27,7.43,76.31,FAST,Z9
7,84,3197,376,170,27.28,6.39,174.32,NORMAL,Z9
8,106,1274,549,59,6.67,10.78,71.9,FAST,Z11
9,163,3572,1032,95,14.21,9.73,138.26,NORMAL,Z9
10,147,235,57,146,17.21,9.17,157.82,FAST,Z10
11,108,1220,405,41,8.43,6.67,56.23,FAST,Z19
12,12,2380,823,78,8.67,9.56,82.89,NORMAL,Z16
13,77,998,1100,76,11.32,11.25,127.35,NORMAL,Z18
14,164,481,625,63,7.17,7.72,55.35,NORMAL,Z6
15,54,20,1425,127,23.89,6.34,151.46,NORMAL,Z7
16,135,4136,1316,121,12.32,9.51,117.16,NORMAL,Z14
17,178,4001,23,151,36.81,6.23,229.33,FAST,Z16
18,151,4150,573,96,19.02,12.62,240.03,FAST,Z18
19,193,1967,151,15,1.75,9.49,16.61,NORMAL,Z16
20,44,2762,1307,177,34.41,9.6,330.34,FAST,Z18
21,152,4099,1062,107,16.98,9.25,157.06,NORMAL,Z19
22,50,3855,309,156,28.26,8.4,237.38,FAST,Z6
23,152,1288,588,68,7.42,12.83,95.2,NORMAL,Z20
24,74,3871,1387,146,22.86,9.58,219.0,NORMAL,Z7
25,72,4591,922,171,17.86,6.58,117.52,NORMAL,Z10
26,154,484,1213,45,4.69,8.09,37.94,FAST,Z3
27,152,4468,1323,76,10.03,8.52,85.46,NORMAL,Z8
28,40,381,443,38,4.23,11.78,49.83,FAST,Z12
29,172,4002,1108,107,24.44,12.43,303.79,NORMAL,Z4
30,19,2020,193,122,15.02,7.68,115.35,NORMAL,Z20
31,74,416,1336,161,22.92,9.37,214.76,NORMAL,Z2
32,64,83,545,83,18.98,12.19,231.37,NORMAL,Z5
33,144,4951,826,155,33.1,8.03,265.79,FAST,Z17
34,80,3807,134,153,23.5,8.89,208.92,FAST,Z3
35,19,3305,384,167,25.76,7.36,189.59,NORMAL,Z16
36,26,386,67,117,27.63,8.5,234.85,FAST,Z8
37,73,3582,71,92,13.15,8.87,116.64,FAST,Z7
38,6,621,650,39,3.98,7.98,31.76,FAST,Z11
39,188,3520,470,43,7.02,12.43,87.26,FAST,Z16
40,186,3863,79,164,22.55,9.18,207.01,FAST,Z19
41,119,1091,435,136,17.54,9.04,158.56,NORMAL,Z4
42,85,282,133,156,19.92,8.77,174.7,NORMAL,Z11
43,195,787,940,142,15.88,9.4,149.27,FAST,Z3
44,64,3134,856,28,5.27,7.76,40.9,NORMAL,Z13
45,91,1410,1345,66,11.53,8.72,100.54,FAST,Z5
46,139,425,172,155,30.15,8.28,249.64,NORMAL,Z7
47,77,18,1207,177,17.8,7.73,137.59,NORMAL,Z12
48,119,3939,948,145,23.77,6.84,162.59,FAST,Z9
49,108,2712,1280,131,25.22,9.08,229.0,NORMAL,Z3
50,76,3050,1000,125,22.9,6.53,149.54,NORMAL,Z11
51,196,3878,1406,117,19.8,7.06,139.79,FAST,Z2
52,96,1978,1411,70,13.15,7.57,99.55,FAST,Z12
53,117,163,220,142,20.64,6.88,142.0,FAST,Z20
54,110,2072,170,163,38.27,9.44,361.27,NORMAL,Z18
55,102,2439,425,159,21.13,10.05,212.36,FAST,Z7
56,107,2142,215,116,26.37,9.88,260.54,FAST,Z4
57,140,2370,138,82,18.4,9.4,172.96,FAST,Z3
58,55,4235,313,83,8.93,9.75,87.07,NORMAL,Z20
59,26,3981,794,51,5.51,8.31,45.79,NORMAL,Z3
60,173,3075,823,28,2.94,8.93,26.25,FAST,Z19
61,121,2939,434,69,13.52,11.7,158.18,NORMAL,Z13
62,11,223,867,102,11.04,6.95,76.73,FAST,Z6
63,25,3654,1287,169,26.72,7.75,207.08,FAST,Z12
64,97,2131,647,65,8.08,7.89,63.75,NORMAL,Z13
65,194,4991,282,170,17.88,6.98,124.8,FAST,Z9
66,20,203,941,124,18.32,8.99,164.7,NORMAL,Z13
67,44,4470,1312,131,14.69,7.08,104.01,FAST,Z1
68,43,3290,506,45,6.8,12.86,87.45,FAST,Z7
69,37,203,1244,119,12.91,8.81,113.74,FAST,Z9
70,82,3194,262,155,20.14,7.43,149.64,NORMAL,Z20
71,12,3828,718,25,2.65,9.34,24.75,NORMAL,Z9
72,89,3854,771,171,20.26,9.89,200.37,NORMAL,Z9
73,193,2187,1231,91,12.11,7.3,88.4,FAST,Z2
74,168,4310,795,139,30.75,7.38,226.94,NORMAL,Z6
75,42,397,828,90,16.48,8.59,141.56,FAST,Z17
76,43,4960,1284,70,7.98,8.28,66.07,NORMAL,Z14
77,106,4956,1311,157,27.04,6.62,179.0,NORMAL,Z10
78,27,1572,928,100,14.73,8.67,127.71,NORMAL,Z14
79,49,653,30,152,29.66,9.84,291.85,FAST,Z17
80,163,3146,278,44,8.54,9.91,84.63,NORMAL,Z19
81,8,3222,230,135,26.51,7.96,211.02,NORMAL,Z20
82,175,997,1389,149,34.11,8.84,301.53,NORMAL,Z2
83,26,1451,670,18,2.29,9.61,22.01,NORMAL,Z1
84,17,1349,1221,25,5.43,9.22,50.06,FAST,Z2
85,101,2407,260,51,5.34,6.71,35.83,NORMAL,Z2
86,163,1279,429,113,13.01,11.85,154.17,NORMAL,Z12
87,141,4551,1194,110,13.03,12.91,168.22,NORMAL,Z1
88,90,1193,459,81,12.53,12.18,152.62,FAST,Z20
89,197,4774,544,31,3.22,11.84,38.12,NORMAL,Z5
90,116,3887,1148,45,5.05,11.68,58.98,FAST,Z4
91,106,4591,1112,110,21.98,9.9,217.6,NORMAL,Z2
92,169,3612,615,136,26.9,7.85,211.16,FAST,Z5
93,68,3566,48,133,17.8,7.74,137.77,FAST,Z3
94,152,3343,88,96,15.45,6.57,101.51,FAST,Z14
95,192,2308,13,40,6.64,6.44,42.76,NORMAL,Z3
96,17,4514,26,91,11.55,7.09,81.89,NORMAL,Z8
97,159,771,333,84,10.47,6.24,65.33,FAST,Z10
98,3,4344,362,170,25.46,9.4,239.32,FAST,Z17
99,36,3048,334,75,10.23,7.46,76.32,FAST,Z15
100,178,4356,180,83,13.33,9.5,126.64,NORMAL,Z13
101,41,2608,631,149,33.81,6.84,231.26,NORMAL,Z19
102,34,1457,1018,76,14.78,9.36,138.34,NORMAL,Z3
103,90,3061,1103,153,17.15,9.16,157.09,NORMAL,Z12
104,100,3324,504,143,23.05,11.71,269.92,FAST,Z15
105,27,2378,248,146,29.92,6.36,190.29,NORMAL,Z7
106,73,2958,505,89,13.84,12.77,176.74,NORMAL,Z19
107,164,3538,16,111,25.87,9.58,247.83,FAST,Z1
108,176,3419,354,133,14.75,8.49,125.23,FAST,Z13
109,162,3013,1246,22,3.06,8.69,26.59,FAST,Z6
110,67,1407,92,75,17.79,6.86,122.04,FAST,Z19
111,179,1172,430,74,9.46,10.84,102.55,FAST,Z2
112,105,692,67,179,30.17,6.06,182.83,FAST,Z19
113,8,3178,333,104,21.62,8.81,190.47,FAST,Z14
114,122,158,661,40,5.87,7.73,45.38,FAST,Z10
115,63,3879,273,61,6.83,7.55,51.57,FAST,Z7
116,104,1904,487,175,29.74,12.64,375.91,NORMAL,Z7
117,186,1641,436,48,5.85,10.24,59.9,NORMAL,Z17
118,15,1758,1143,89,13.81,11.67,161.16,FAST,Z11
119,134,2394,1370,42,5.02,9.88,49.6,NORMAL,Z16
120,6,2038,97,165,22.36,9.26,207.05,NORMAL,Z13
121,44,4374,1212,74,7.75,8.36,64.79,FAST,Z19
122,109,692,859,15,2.95,8.13,23.98,FAST,Z7
123,26,2781,13,25,4.94,9.91,48.96,NORMAL,Z2
124,157,3905,1266,21,3.67,8.74,32.08,FAST,Z2
125,188,4521,1196,113,25.11,9.13,229.25,FAST,Z8
126,72,1379,1090,101,11.13,12.02,133.78,NORMAL,Z1
127,160,4663,109,87,19.11,9.83,187.85,FAST,Z9
128,122,2758,639,121,13.32,9.28,123.61,FAST,Z11
129,118,189,30,84,8.87,9.91,87.9,FAST,Z1
130,165,3018,1209,122,16.28,7.63,124.22,FAST,Z14
131,149,1873,455,29,3.0,9.77,29.31,NORMAL,Z12
132,189,586,1336,112,12.27,8.54,104.79,NORMAL,Z14
133,19,4947,1197,34,4.65,10.45,48.59,NORMAL,Z5
134,133,3093,1224,77,18.86,8.24,155.41,FAST,Z4
135,41,4368,493,174,33.86,13.0,440.18,NORMAL,Z16
136,116,2740,1369,47,6.03,7.42,44.74,NORMAL,Z7
137,45,1479,948,176,38.41,8.5,326.48,FAST,Z13
138,184,2688,252,29,5.53,8.29,45.84,NORMAL,Z1
139,54,3063,348,55,7.68,7.46,57.29,FAST,Z16
