request_id,household_id,waste_type,zone,requested_time_min,assigned_truck_id,estimated_pickup_time_min,load_kg
1,5807,PLASTIC,Z7,1422,106,1436,30.1
2,391,DRY,Z17,655,58,818,41.7
3,1990,WET,Z23,707,75,754,13.6
4,4681,WET,Z19,418,5,494,10.5
5,6382,DRY,Z22,1263,99,1316,15.2
6,1356,DRY,Z11,312,175,367,52.2
7,2393,PLASTIC,Z22,406,64,482,8.0
8,744,WET,Z3,295,173,324,4.3
9,731,WET,Z2,190,45,329,18.9
10,5270,WET,Z6,153,12,234,46.3
11,2481,DRY,Z14,810,9,918,8.4
12,1084,DRY,Z6,280,20,382,36.9
13,2001,EWASTE,Z14,978,174,1045,57.8
14,4239,EWASTE,Z11,782,190,905,57.8
15,6573,PLASTIC,Z8,43,92,139,11.9
16,4863,DRY,Z7,392,189,539,4.6
17,6320,WET,Z10,1209,4,1285,54.0
18,1197,EWASTE,Z20,1324,25,1384,37.5
19,3665,EWASTE,Z1,1319,1,1425,23.5
20,2636,DRY,Z20,346,128,488,25.9
21,4890,EWASTE,Z18,560,184,607,30.2
22,5604,PLASTIC,Z1,623,179,776,42.8
23,7078,DRY,Z12,691,154,841,16.8
24,5801,PLASTIC,Z9,1244,127,1350,48.3
25,4885,DRY,Z24,526,91,576,45.4
26,3297,WET,Z3,336,148,407,27.9
27,1506,EWASTE,Z4,1206,153,1337,9.8
28,7135,EWASTE,Z24,814,96,907,46.7
29,1158,EWASTE,Z2,967,36,1138,29.1
30,7958,DRY,Z16,1050,37,1186,30.0
31,7674,DRY,Z2,89,106,136,39.9
32,3725,DRY,Z15,1267,99,1405,58.9
33,2856,PLASTIC,Z3,1409,191,1530,56.8
34,5424,EWASTE,Z18,1377,105,1414,40.8
35,5236,PLASTIC,Z20,523,91,664,18.3
36,2741,DRY,Z19,1176,3,1227,24.5
37,1774,DRY,Z3,797,1,963,20.3
38,1402,EWASTE,Z16,873,17,967,51.3
39,1542,EWASTE,Z9,969,54,982,54.2
40,3660,DRY,Z1,788,158,846,48.4
41,1060,DRY,Z17,547,112,683,31.9
42,6680,DRY,Z25,777,132,805,25.9
43,7828,DRY,Z1,273,80,348,37.5
44,4571,WET,Z2,115,122,220,51.6
45,4284,PLASTIC,Z10,530,112,687,24.6
46,7118,DRY,Z10,627,22,749,47.8
47,2720,PLASTIC,Z22,292,93,364,27.2
48,167,EWASTE,Z5,1013,165,1143,47.3
49,4121,EWASTE,Z5,1260,159,1327,7.9
50,1950,WET,Z7,1000,158,1091,26.9
51,2802,EWASTE,Z24,1238,26,1291,37.1
52,6480,DRY,Z7,608,2,691,10.9
53,3079,EWASTE,Z4,1302,46,1359,2.9
54,4063,DRY,Z13,742,177,770,45.8
55,683,WET,Z24,753,199,879,48.5
56,3197,EWASTE,Z11,1412,154,1557,12.9
57,638,EWASTE,Z10,286,5,459,18.9
58,2402,PLASTIC,Z10,1246,109,1421,7.4
59,2392,EWASTE,Z7,404,95,557,25.9
60,4160,DRY,Z4,336,153,488,57.2
61,1304,DRY,Z19,761,172,926,19.4
62,6862,WET,Z17,278,73,362,31.3
63,2852,WET,Z14,758,92,906,53.2
64,1813,PLASTIC,Z6,413,8,593,49.9
65,4176,PLASTIC,Z12,349,66,469,23.7
66,4214,PLASTIC,Z4,610,129,705,25.4
67,2505,WET,Z8,734,162,846,24.3
68,2765,WET,Z10,1321,187,1443,40.6
69,145,PLASTIC,Z20,1071,70,1091,22.0
70,6281,WET,Z13,1047,155,1214,21.9
71,5327,DRY,Z3,245,100,332,30.2
72,812,PLASTIC,Z19,1094,46,1251,27.9
73,3586,EWASTE,Z3,455,40,539,44.6
74,339,PLASTIC,Z21,678,182,755,6.0
75,3995,DRY,Z24,1394,194,1501,54.2
76,751,PLASTIC,Z7,876,171,1018,37.2
77,6610,DRY,Z20,1162,21,1244,25.3
78,2784,PLASTIC,Z15,834,26,1008,42.1
79,3787,PLASTIC,Z4,968,110,1084,15.3
80,7230,DRY,Z12,1327,56,1391,58.8
81,830,DRY,Z22,1111,95,1181,36.4
82,7068,DRY,Z18,85,113,135,38.6
83,6087,WET,Z2,301,143,378,12.2
84,7335,EWASTE,Z19,1327,66,1497,32.9
85,4067,EWASTE,Z1,579,40,605,42.8
86,2673,PLASTIC,Z2,838,151,907,52.0
87,1771,WET,Z4,713,54,749,33.7
88,1738,PLASTIC,Z11,116,30,176,41.1
89,6937,PLASTIC,Z19,807,83,936,5.6
90,1283,EWASTE,Z9,1197,104,1284,33.6
91,7175,EWASTE,Z14,279,81,433,19.3
92,4448,DRY,Z18,487,182,508,13.9
93,3001,PLASTIC,Z21,982,114,1007,5.5
94,2825,WET,Z3,182,50,200,3.4
95,385,EWASTE,Z15,297,12,309,53.7
96,1977,DRY,Z15,602,121,760,17.0
97,1819,EWASTE,Z1,726,124,822,10.1
98,4864,EWASTE,Z11,39,103,138,24.5
99,4238,DRY,Z1,963,56,1005,14.0
100,5437,EWASTE,Z21,629,101,646,27.9
101,5025,PLASTIC,Z3,383,125,432,21.0
102,4945,WET,Z8,342,38,482,51.4
103,6794,WET,Z11,291,4,315,30.5
104,5079,EWASTE,Z18,514,132,528,10.2
105,7213,EWASTE,Z9,1120,160,1232,51.9
106,7545,PLASTIC,Z14,605,182,701,22.5
107,100,WET,Z15,1408,190,1426,57.3
108,34,WET,Z16,1252,39,1343,5.8
109,7471,DRY,Z8,115,191,239,18.6
110,4385,EWASTE,Z12,238,114,404,4.6
111,1136,EWASTE,Z18,935,154,988,4.8
112,1839,DRY,Z6,760,8,814,56.7
113,5585,DRY,Z14,6,126,58,5.3
114,4885,EWASTE,Z1,969,118,997,16.6
115,2504,EWASTE,Z24,1199,11,1272,45.8
116,2305,EWASTE,Z21,469,96,611,37.3
117,6165,EWASTE,Z6,694,140,769,25.1
118,7133,PLASTIC,Z4,1096,43,1160,44.4
119,4531,PLASTIC,Z5,70,145,84,31.7
120,3292,WET,Z2,716,96,871,35.7
121,7405,PLASTIC,Z10,1264,4,1380,5.8
122,1838,WET,Z15,902,184,1032,3.3
123,2789,PLASTIC,Z24,1167,87,1283,40.1
124,3215,PLASTIC,Z19,685,109,700,19.3
125,1440,EWASTE,Z10,31,16,78,18.8
126,1116,EWASTE,Z7,1055,146,1094,12.8
127,3206,WET,Z3,248,100,372,7.9
128,5041,WET,Z8,694,158,770,35.2
129,2557,WET,Z25,1240,90,1261,57.0
130,7981,DRY,Z5,719,22,868,38.5
131,2555,PLASTIC,Z14,1079,97,1243,56.6
132,6369,EWASTE,Z1,279,185,453,55.9
133,1637,EWASTE,Z17,791,151,905,31.1
134,468,PLASTIC,Z11,852,17,984,43.8
135,1139,PLASTIC,Z19,329,181,413,26.2
136,7052,DRY,Z14,569,33,654,29.7
137,5579,PLASTIC,Z9,438,99,561,7.5
138,2523,WET,Z13,564,142,579,20.9
139,756,WET,Z8,312,79,462,16.1
140,868,PLASTIC,Z21,89,190,236,17.4
141,7368,EWASTE,Z3,1040,40,1088,55.0
142,5968,PLASTIC,Z8,575,94,711,31.5
143,4459,DRY,Z24,301,9,371,10.3
144,6987,WET,Z8,578,78,722,58.1
145,3499,EWASTE,Z17,1081,66,1187,14.2
146,4657,PLASTIC,Z15,1004,160,1114,49.1
147,6436,EWASTE,Z4,1167,64,1202,16.8
148,4274,DRY,Z25,649,108,718,38.2
149,2548,DRY,Z2,1226,93,1313,50.1
150,7515,WET,Z5,679,66,766,34.9
151,2218,EWASTE,Z2,491,117,534,40.4
152,6445,WET,Z17,741,32,879,3.6
153,2095,PLASTIC,Z12,983,134,1159,50.7
154,3957,EWASTE,Z7,815,91,885,4.4
155,752,DRY,Z14,639,104,743,10.3
156,1397,WET,Z5,847,39,871,19.2
157,5786,PLASTIC,Z20,312,150,322,59.4
158,1237,DRY,Z18,539,160,604,23.7
159,7120,PLASTIC,Z15,256,133,334,30.0
160,1755,PLASTIC,Z17,1146,200,1278,12.4
161,2845,WET,Z17,50,45,84,53.4
162,1774,EWASTE,Z16,1197,83,1261,25.6
163,2549,WET,Z15,1234,132,1349,4.0
164,1851,EWASTE,Z1,777,19,851,45.0
165,1969,WET,Z9,1233,97,1317,58.5
166,799,EWASTE,Z23,184,121,363,4.7
167,1303,WET,Z13,1028,179,1155,45.3
168,5388,DRY,Z24,415,179,579,19.3
169,3896,PLASTIC,Z9,434,1,581,41.0
170,1166,DRY,Z18,605,176,745,24.6
171,3200,WET,Z18,729,117,857,17.4
172,4570,EWASTE,Z15,177,119,316,43.8
173,592,PLASTIC,Z4,740,176,797,4.9
174,628,PLASTIC,Z2,831,54,991,22.9
175,2092,DRY,Z15,860,66,967,32.8
176,6686,WET,Z12,1252,175,1352,52.8
177,1356,DRY,Z6,979,196,1087,54.2
178,603,WET,Z11,5,6,185,8.1
179,1145,PLASTIC,Z7,302,80,382,52.6
180,6349,EWASTE,Z7,1069,1,1113,38.0
181,3906,DRY,Z5,1130,26,1212,26.9
182,1639,WET,Z20,214,23,288,34.5
183,7295,EWASTE,Z18,1066,33,1118,34.3
184,959,EWASTE,Z11,261,87,364,2.9
185,3964,PLASTIC,Z17,582,19,684,28.8
186,3368,DRY,Z9,637,25,726,26.7
187,7081,WET,Z8,139,146,185,57.6
188,769,EWASTE,Z10,439,106,461,21.8
189,1581,DRY,Z6,643,163,712,31.3
190,7401,PLASTIC,Z18,210,57,285,48.8
191,1210,DRY,Z1,796,87,851,50.4
192,5843,DRY,Z8,50,58,93,29.3
193,7352,DRY,Z6,236,51,349,56.4
194,6075,WET,Z9,1104,114,1158,25.8
195,4095,WET,Z25,560,98,685,24.9
196,7300,WET,Z4,198,66,292,15.7
197,4752,PLASTIC,Z5,207,55,327,42.3
198,5698,EWASTE,Z24,1421,97,1482,57.3
199,6415,EWASTE,Z14,764,106,831,8.5
200,1740,DRY,Z14,1198,163,1319,3.1
201,2390,PLASTIC,Z14,479,57,516,47.3
202,4944,DRY,Z14,1195,35,1318,52.5
203,6667,WET,Z11,642,18,655,16.3
204,3395,DRY,Z2,142,165,160,39.4
205,3913,EWASTE,Z9,633,34,746,27.5
206,747,WET,Z15,1276,53,1403,30.9
207,3988,EWASTE,Z22,1339,120,1504,50.9
208,1482,DRY,Z4,850,10,928,21.2
209,865,WET,Z21,719,140,779,6.6
210,6344,PLASTIC,Z8,218,77,310,13.2
211,1607,EWASTE,Z8,567,75,616,38.8
212,697,PLASTIC,Z10,1321,20,1388,48.1
213,3281,EWASTE,Z14,239,27,281,19.7
214,2783,WET,Z13,1207,89,1384,34.4
215,4269,WET,Z4,1229,150,1272,50.7
216,159,DRY,Z18,1408,162,1464,57.0
217,4291,WET,Z24,881,74,1016,36.9
218,1195,DRY,Z10,1273,102,1428,59.8
219,3652,EWASTE,Z4,717,98,796,19.1
220,62,WET,Z9,1427,81,1470,50.6
221,2528,WET,Z8,443,196,483,6.5
222,3862,EWASTE,Z22,933,181,948,55.6
223,919,PLASTIC,Z24,1231,124,1403,41.7
224,4226,EWASTE,Z25,1150,115,1199,47.3
225,2414,DRY,Z20,1241,104,1268,51.6
226,2874,DRY,Z11,206,79,376,21.6
227,5286,EWASTE,Z7,114,28,148,36.9
228,6145,WET,Z5,866,47,974,52.7
229,3495,WET,Z17,413,99,575,29.7
230,1544,EWASTE,Z13,958,75,1026,37.4
231,7357,EWASTE,Z2,472,190,483,34.6
232,3146,WET,Z9,378,101,489,40.5
233,5266,EWASTE,Z20,478,184,549,12.5
234,327,DRY,Z18,1014,186,1117,18.1
235,5815,WET,Z21,1214,17,1348,33.5
236,1249,WET,Z16,1267,178,1417,35.1
237,1585,WET,Z23,1083,200,1107,2.5
238,4300,DRY,Z3,1144,98,1226,23.4
239,432,WET,Z20,847,43,864,12.2
240,3040,WET,Z4,1143,132,1155,25.6
241,3337,PLASTIC,Z16,911,189,1063,46.4
242,2549,WET,Z2,1282,128,1407,22.6
243,4083,EWASTE,Z15,203,150,267,43.0
244,2794,EWASTE,Z13,706,124,719,22.1
245,363,EWASTE,Z6,1311,131,1418,35.0
246,5631,PLASTIC,Z17,330,193,415,24.3
247,7629,WET,Z14,943,11,994,14.4
248,2741,WET,Z14,71,24,165,7.6
249,3422,DRY,Z19,978,168,1019,51.6
250,7411,EWASTE,Z11,885,17,1027,9.4
251,6625,PLASTIC,Z10,0,154,112,50.3
252,2478,DRY,Z19,804,138,836,35.5
253,3186,DRY,Z5,840,79,852,45.7
254,7198,WET,Z18,830,189,887,55.9
255,3944,DRY,Z20,1209,15,1326,44.5
256,7319,DRY,Z8,361,35,455,32.4
257,477,EWASTE,Z3,1243,37,1293,29.8
258,6077,WET,Z23,757,39,910,10.0
259,104,DRY,Z1,1100,47,1228,49.1
260,2681,PLASTIC,Z4,1285,36,1416,30.9
261,1376,PLASTIC,Z3,620,124,788,27.8
262,7092,DRY,Z9,595,21,701,51.2
263,1427,PLASTIC,Z12,1232,93,1405,8.0
264,3839,PLASTIC,Z14,923,17,1067,3.8
265,3115,DRY,Z12,527,7,599,32.4
266,6800,WET,Z14,923,142,1095,49.7
267,573,DRY,Z1,540,163,606,55.1
268,4801,PLASTIC,Z17,951,43,1112,54.0
269,3591,PLASTIC,Z11,885,23,1043,18.4
270,2158,DRY,Z9,493,57,658,30.3
271,6388,EWASTE,Z13,600,185,730,51.6
272,1955,DRY,Z23,764,150,925,17.7
273,6538,WET,Z17,651,83,773,37.5
274,5288,WET,Z23,935,146,957,47.6
275,1278,DRY,Z11,965,53,1092,41.4
276,3249,EWASTE,Z14,739,61,761,57.5
277,6456,DRY,Z19,776,43,891,59.9
278,1774,DRY,Z16,293,9,314,14.0
279,810,DRY,Z1,32,55,165,16.5
280,6317,PLASTIC,Z17,466,166,626,50.5
281,933,EWASTE,Z5,411,198,481,20.7
282,5597,WET,Z15,336,140,370,49.9
283,5228,PLASTIC,Z22,1329,120,1433,22.9
284,6937,PLASTIC,Z1,99,91,266,27.4
285,1374,EWASTE,Z25,37,96,82,31.3
286,509,PLASTIC,Z25,291,167,457,40.7
287,3304,WET,Z23,1211,169,1307,36.4
288,3199,DRY,Z10,590,2,659,17.1
289,7063,EWASTE,Z24,868,89,1038,16.1
290,5030,EWASTE,Z10,1053,183,1202,59.2
291,7631,WET,Z7,250,130,358,24.6
292,3563,PLASTIC,Z16,1383,129,1493,15.8
293,7769,EWASTE,Z12,351,12,450,14.8
294,7005,EWASTE,Z23,870,58,973,30.9
295,1913,PLASTIC,Z20,421,13,555,31.7
296,1463,PLASTIC,Z10,454,88,482,26.2
297,3190,PLASTIC,Z7,1131,44,1266,37.2
298,6102,EWASTE,Z21,520,39,606,19.8
299,2822,WET,Z3,1059,61,1091,48.1
300,6862,DRY,Z10,211,177,261,43.9
301,6257,DRY,Z5,132,116,292,8.5
302,2381,PLASTIC,Z19,789,51,818,51.1
303,1109,EWASTE,Z3,226,63,266,40.1
304,153,WET,Z13,604,113,707,28.6
305,5205,WET,Z18,571,60,687,18.0
306,5095,PLASTIC,Z14,1080,139,1109,7.7
307,3512,PLASTIC,Z7,369,38,463,26.2
308,5735,DRY,Z23,320,15,471,8.5
309,4302,PLASTIC,Z5,983,170,1080,44.0
310,7880,PLASTIC,Z22,803,122,904,28.6
311,1903,EWASTE,Z22,1425,59,1475,51.3
312,1596,EWASTE,Z10,223,3,319,38.2
313,7496,DRY,Z23,1245,139,1373,41.0
314,5228,DRY,Z6,208,62,379,38.6
315,6688,EWASTE,Z7,1245,70,1363,2.8
316,5839,PLASTIC,Z24,999,87,1160,33.2
317,3250,PLASTIC,Z25,1233,163,1256,37.3
318,4272,PLASTIC,Z18,1161,141,1297,45.2
319,7707,DRY,Z22,1362,40,1390,44.5
320,7033,EWASTE,Z5,796,102,875,45.3
321,6567,WET,Z5,988,72,1119,22.3
322,2033,PLASTIC,Z19,1066,184,1134,5.8
323,4057,DRY,Z4,1010,113,1068,52.3
324,4979,EWASTE,Z9,780,192,891,20.1
325,7754,EWASTE,Z16,1052,60,1146,50.1
326,1588,DRY,Z9,234,50,393,55.7
327,916,DRY,Z23,1242,20,1348,27.5
328,192,DRY,Z7,119,151,277,47.4
329,2858,DRY,Z7,1418,55,1585,51.5
330,1143,WET,Z25,1391,163,1466,51.0
331,2505,WET,Z19,1315,70,1401,14.8
332,4999,DRY,Z5,915,28,1046,16.3
333,4138,DRY,Z21,858,1,913,36.5
334,682,EWASTE,Z14,1421,129,1513,10.6
335,1672,PLASTIC,Z14,1057,29,1103,43.1
336,6761,DRY,Z16,580,62,608,12.9
337,6199,DRY,Z9,576,154,601,48.1
338,6290,EWASTE,Z4,669,137,730,4.8
339,5930,EWASTE,Z13,810,19,929,22.8
340,3813,EWASTE,Z22,483,148,570,35.8
341,6161,PLASTIC,Z16,1434,77,1538,57.9
342,1393,EWASTE,Z23,88,102,185,3.3
343,4130,DRY,Z3,1366,169,1481,3.7
344,6695,PLASTIC,Z14,446,5,583,41.4
345,3536,WET,Z19,194,119,275,7.0
346,6545,PLASTIC,Z20,399,104,476,50.0
347,6770,WET,Z9,820,123,994,31.3
348,7635,WET,Z7,490,163,636,46.7
349,1982,DRY,Z7,1063,17,1113,37.2
350,6712,WET,Z18,1080,168,1234,20.5
351,5686,WET,Z17,1304,169,1480,9.0
352,5778,WET,Z8,339,62,354,31.7
353,2112,PLASTIC,Z2,1360,129,1461,53.5
354,6294,PLASTIC,Z13,434,155,556,14.2
355,6558,DRY,Z6,767,134,796,10.2
356,6298,PLASTIC,Z19,216,4,298,58.1
357,7624,DRY,Z12,379,67,541,23.1
358,2646,EWASTE,Z20,628,63,686,11.3
359,2106,WET,Z15,541,196,634,44.6
360,476,WET,Z11,788,39,808,59.9
361,1298,EWASTE,Z25,749,198,818,13.2
362,6065,PLASTIC,Z17,1349,23,1472,12.1
363,2309,EWASTE,Z14,620,149,752,32.0
364,4353,DRY,Z8,128,62,211,20.5
365,3864,PLASTIC,Z15,1406,113,1446,21.5
366,7797,PLASTIC,Z6,529,45,660,8.9
367,6740,DRY,Z16,505,89,666,32.5
368,3007,DRY,Z6,452,183,502,26.6
369,7263,DRY,Z10,775,70,862,44.3
370,3776,WET,Z21,749,117,842,46.4
371,2100,DRY,Z13,4,90,96,14.1
372,751,WET,Z17,1075,28,1148,23.2
373,1462,PLASTIC,Z12,354,80,433,53.2
374,1155,EWASTE,Z11,205,27,256,58.3
375,6537,PLASTIC,Z13,1039,105,1209,28.9
376,951,PLASTIC,Z25,819,81,908,26.9
377,3519,PLASTIC,Z11,850,79,965,24.3
378,6980,WET,Z19,1061,174,1142,31.1
379,544,WET,Z3,386,68,418,7.7
380,5308,WET,Z25,551,11,594,7.6
381,348,PLASTIC,Z25,110,54,120,9.3
382,1147,DRY,Z15,15,113,126,38.3
383,213,EWASTE,Z12,1106,45,1198,27.9
384,6797,PLASTIC,Z11,1286,67,1366,59.6
385,1021,PLASTIC,Z25,1254,129,1279,3.2
386,7636,EWASTE,Z11,1179,182,1233,15.5
387,108,EWASTE,Z25,1165,43,1175,38.3
388,5574,WET,Z18,582,9,714,5.2
389,6755,WET,Z13,1041,157,1113,3.1
390,5338,EWASTE,Z7,844,143,982,11.4
