passage_id,vehicle_id,corridor_id,entry_time_min,exit_time_min,distance_km,base_toll,congestion_factor,final_toll
1,3673,46,630,670,23.44,60.94,1.97,120.05
2,1807,34,239,276,41.64,120.83,1.16,140.16
3,3888,31,525,625,75.7,133.87,1.56,208.84
4,769,11,759,819,42.48,59.78,1.02,60.98
5,2723,40,580,591,12.55,15.21,1.59,24.18
6,1835,29,1348,1482,67.31,147.82,1.07,158.17
7,8531,37,232,236,4.73,6.43,1.07,6.88
8,8001,43,1403,1408,6.54,18.17,1.1,19.99
9,2310,50,51,97,37.63,96.47,1.29,124.45
10,4534,35,174,233,39.83,41.83,1.28,53.54
11,357,46,492,565,41.12,115.78,1.05,121.57
12,7790,36,1435,1481,42.57,46.69,1.03,48.09
13,2491,34,1331,1337,7.99,12.45,1.21,15.06
14,3053,20,349,390,32.39,42.35,1.09,46.16
15,9072,31,458,482,10.49,14.71,1.07,15.74
16,2229,50,869,964,53.92,146.65,1.09,159.85
17,246,18,413,464,17.29,42.56,1.22,51.92
18,6738,24,1425,1515,73.46,88.04,1.28,112.69
19,2632,44,1370,1427,58.33,79.81,1.13,90.19
20,8513,26,446,490,32.8,75.96,1.14,86.59
21,451,28,211,230,20.74,30.35,1.25,37.94
22,3798,14,206,267,34.08,40.58,1.13,45.86
23,1516,6,699,740,47.67,131.84,1.08,142.39
24,5510,15,190,298,61.18,176.14,1.02,179.66
25,9100,32,1404,1459,36.15,87.49,1.25,109.36
26,5931,21,1193,1325,70.64,168.59,1.26,212.42
27,7526,32,918,943,23.6,32.9,1.25,41.12
28,9068,41,547,555,9.03,25.02,1.66,41.53
29,4007,22,746,798,54.59,139.22,1.14,158.71
30,1058,11,127,174,58.21,118.76,1.22,144.89
31,5016,43,960,974,5.65,16.11,1.22,19.65
32,3851,39,1365,1402,44.5,46.68,1.27,59.28
33,4078,21,75,76,1.58,4.52,1.22,5.51
34,9933,10,250,373,53.38,111.85,1.2,134.22
35,3706,41,147,228,35.63,48.13,1.24,59.68
36,59,10,747,846,70.21,127.55,1.18,150.51
37,8537,13,703,736,34.89,99.72,1.04,103.71
38,3745,18,857,965,48.28,85.62,1.18,101.03
39,1126,48,984,1012,11.81,16.1,1.07,17.23
40,9359,50,729,802,60.71,110.45,1.18,130.33
41,2328,21,405,448,47.44,89.52,1.18,105.63
42,155,40,1415,1447,31.2,40.44,1.27,51.36
43,5417,20,21,87,77.1,143.95,1.15,165.54
44,1793,23,422,472,55.7,151.47,1.26,190.85
45,7687,22,33,131,55.32,100.45,1.26,126.57
46,7575,14,662,684,20.4,36.51,1.15,41.99
47,4450,31,867,925,30.26,64.39,1.27,81.78
48,7376,4,614,723,77.61,95.74,1.21,115.85
49,1835,31,703,758,58.6,77.9,1.04,81.02
50,2,30,969,1074,57.62,114.5,1.11,127.1
51,1251,49,408,474,70.22,158.73,1.1,174.6
52,7127,42,961,997,32.36,91.05,1.18,107.44
53,3702,14,1212,1281,73.83,81.99,1.24,101.67
54,6875,25,447,451,5.52,13.34,1.08,14.41
55,9395,41,957,1048,31.09,85.13,1.11,94.49
56,4950,34,1374,1413,49.9,94.32,1.06,99.98
57,6583,39,1374,1455,71.17,196.08,1.05,205.88
58,6690,43,146,190,59.07,116.19,1.27,147.56
59,7703,15,1261,1417,53.21,141.43,1.2,169.72
60,2953,2,371,402,39.17,85.02,1.23,104.57
61,4357,40,727,768,22.38,34.85,1.18,41.12
62,9890,16,400,461,32.55,56.65,1.08,61.18
63,8747,41,872,928,34.64,87.74,1.26,110.55
64,5870,20,700,738,36.17,89.36,1.19,106.34
65,2481,22,706,758,65.57,185.39,1.03,190.95
66,995,13,961,1047,59.54,125.9,1.09,137.23
67,2443,40,530,581,63.83,67.22,1.7,114.27
68,8859,35,757,797,41.96,113.49,1.04,118.03
69,4800,26,523,532,8.11,20.43,1.33,27.17
70,744,43,796,860,49.68,107.59,1.26,135.56
71,9624,6,264,331,76.67,94.35,1.18,111.33
72,7454,21,415,474,39.14,69.0,1.12,77.28
73,9870,26,1229,1243,7.87,22.16,1.02,22.6
74,9744,45,980,1015,37.28,49.17,1.04,51.14
75,6091,16,1324,1395,40.42,47.9,1.09,52.21
76,1216,10,904,938,25.86,62.92,1.21,76.13
77,7721,44,471,527,56.67,95.82,1.38,132.23
78,750,33,332,421,63.6,76.35,1.28,97.73
79,837,7,488,528,53.48,141.14,1.88,265.34
80,9016,33,334,377,41.56,98.92,1.23,121.67
81,4537,37,1085,1145,68.55,176.16,1.13,199.06
82,8790,34,590,601,10.67,12.48,1.02,12.73
83,3702,34,950,998,34.06,42.96,1.28,54.99
84,564,16,1106,1123,16.44,26.82,1.26,33.79
85,9246,44,1410,1445,20.92,24.61,1.23,30.27
86,8104,8,754,764,8.04,17.26,1.21,20.88
87,5554,9,1285,1401,45.08,68.04,1.27,86.41
88,3893,47,222,326,37.78,39.03,1.23,48.01
89,580,24,64,103,36.58,38.29,1.06,40.59
90,5331,40,982,1100,69.81,87.42,1.07,93.54
91,591,11,650,675,32.84,88.03,1.11,97.71
92,2446,7,1329,1422,60.88,168.17,1.1,184.99
93,660,35,751,773,15.57,36.15,1.09,39.4
94,4266,3,710,725,20.19,41.71,1.14,47.55
95,1325,36,158,171,15.91,30.29,1.1,33.32
96,2533,48,1057,1072,10.06,10.71,1.41,15.1
97,9240,29,623,728,57.71,114.3,1.11,126.87
98,7236,27,498,502,5.81,6.36,1.53,9.73
99,8036,20,329,357,24.76,65.28,1.28,83.56
100,9991,36,1232,1287,47.1,59.97,1.25,74.96
101,8441,46,443,541,63.79,100.2,1.02,102.2
102,2498,18,1253,1290,48.91,50.94,1.27,64.69
103,120,8,968,1020,21.57,44.56,1.03,45.9
104,7258,22,506,539,32.44,63.22,1.4,88.51
105,4025,29,355,442,38.37,85.62,1.14,97.61
106,8201,40,1201,1306,52.64,57.66,1.22,70.35
107,4022,42,875,934,71.46,200.11,1.21,242.13
108,6452,19,914,977,48.93,144.38,1.07,154.49
109,2676,37,151,286,55.0,122.07,1.19,145.26
110,6625,7,155,191,42.18,69.62,1.07,74.49
111,5868,50,722,822,33.66,35.84,1.17,41.93
112,3308,10,232,421,76.45,179.38,1.14,204.49
113,2139,39,1376,1395,21.01,22.99,1.16,26.67
114,7304,50,476,512,48.68,97.34,1.61,156.72
115,8476,19,678,739,71.83,73.69,1.19,87.69
116,1865,43,123,127,3.4,6.19,1.27,7.86
117,1270,47,956,994,14.09,25.46,1.01,25.71
118,8117,16,353,405,28.76,59.73,1.23,73.47
119,1857,45,293,320,25.33,47.56,1.0,47.56
120,5081,27,794,857,72.91,113.66,1.24,140.94
121,5471,22,861,905,58.23,83.03,1.16,96.31
122,4128,2,437,543,36.89,88.52,1.08,95.6
123,7114,12,97,149,55.1,99.7,1.07,106.68
124,1618,41,1314,1421,47.2,101.66,1.1,111.83
125,9991,44,889,1004,78.84,181.5,1.25,226.88
126,6252,11,98,122,15.44,19.14,1.1,21.05
127,134,9,290,337,44.95,83.36,1.11,92.53
128,4466,44,464,526,23.05,58.99,1.44,84.95
129,291,5,1437,1467,30.01,57.11,1.13,64.53
130,1796,46,1008,1067,67.39,87.85,1.24,108.93
131,7614,1,1427,1452,22.27,57.18,1.01,57.75
132,2310,50,907,918,14.85,24.44,1.29,31.53
133,285,37,553,584,28.72,69.09,1.75,120.91
134,1077,30,1078,1169,65.16,174.0,1.53,266.22
135,1996,15,1105,1182,77.11,221.1,1.96,433.36
136,6109,5,248,344,72.31,181.51,1.18,214.18
137,4547,45,621,639,12.68,13.97,1.05,14.67
138,9021,44,1034,1054,13.96,21.13,1.96,41.41
139,7241,5,327,390,50.98,51.41,1.28,65.8
140,8724,7,1301,1336,41.39,97.35,1.03,100.27
141,2564,36,625,666,39.64,57.71,1.1,63.48
142,8069,47,148,201,29.48,47.92,1.11,53.19
143,8410,4,1226,1252,30.94,70.48,1.12,78.94
144,7879,34,1340,1359,20.71,38.11,1.0,38.11
145,1894,24,801,807,6.51,15.9,1.16,18.44
146,2770,23,293,440,66.53,72.84,1.1,80.12
147,4675,42,1,100,45.13,120.41,1.18,142.08
148,9030,10,238,325,49.4,77.71,1.22,94.81
149,8777,17,16,33,7.16,21.15,1.1,23.27
150,2940,36,67,87,11.51,19.54,1.27,24.82
151,7849,45,285,334,25.14,56.47,1.05,59.29
152,1836,15,1117,1181,68.88,101.56,1.16,117.81
153,5643,19,258,302,43.45,63.82,1.24,79.14
154,5836,33,388,417,18.71,40.18,1.27,51.03
155,6258,50,800,828,37.81,91.34,1.25,114.18
156,7435,15,1265,1279,11.73,16.86,1.22,20.57
157,2458,31,411,562,52.43,79.32,1.21,95.98
158,7125,4,536,596,30.3,41.43,2.0,82.86
159,1197,50,973,995,27.4,64.86,1.29,83.67
160,9537,27,1406,1422,16.68,23.93,1.18,28.24
161,3165,20,102,122,18.36,40.41,1.15,46.47
162,4799,32,828,865,46.96,136.0,1.14,155.04
163,1908,49,605,612,4.42,8.9,1.27,11.3
164,2752,16,420,502,50.49,101.59,1.16,117.84
165,4168,29,1402,1454,58.74,100.45,1.26,126.57
166,9545,50,1098,1106,5.43,15.96,1.61,25.7
167,5357,29,656,705,54.5,79.32,1.3,103.12
168,2843,41,308,394,69.25,94.41,1.12,105.74
169,7681,46,138,191,68.21,197.45,1.11,219.17
170,1243,20,1198,1247,62.31,83.91,1.27,106.57
171,7358,2,154,205,38.27,52.64,1.01,53.17
172,6796,33,888,989,73.73,198.89,1.1,218.78
173,8045,40,1100,1138,20.32,23.06,1.97,45.43
174,9072,23,138,148,13.52,33.3,1.02,33.97
175,2429,7,1104,1108,1.95,2.8,1.35,3.78
176,161,9,127,200,50.15,125.02,1.14,142.52
177,9664,1,759,878,79.33,130.89,1.15,150.52
178,3788,23,889,940,60.86,173.55,1.19,206.52
179,8923,48,836,872,29.53,79.45,1.28,101.7
180,1013,27,791,798,10.14,10.22,1.2,12.26
181,3555,48,533,568,12.35,25.6,1.18,30.21
182,2801,39,997,1006,11.41,16.55,1.87,30.95
183,5578,1,105,124,15.08,26.77,1.04,27.84
184,7254,10,704,720,6.56,14.42,1.22,17.59
185,2764,19,507,563,71.46,145.75,1.39,202.59
186,3158,38,282,291,8.54,14.11,1.1,15.52
187,2601,6,1308,1363,56.51,65.21,1.05,68.47
188,7817,20,1302,1314,6.87,20.39,1.26,25.69
189,8559,26,1077,1116,52.0,131.78,1.4,184.49
190,7172,30,839,932,51.47,97.15,1.1,106.87
191,2518,18,1343,1401,42.57,85.38,1.04,88.8
192,6472,29,840,890,42.42,87.37,1.17,102.22
193,6316,31,1062,1129,62.69,97.66,1.82,177.74
194,6878,1,487,528,53.37,84.92,1.73,146.91
195,6814,45,1380,1412,40.38,63.17,1.18,74.54
196,6665,27,1164,1239,60.26,167.72,1.61,270.03
197,7769,26,756,784,31.51,55.96,1.26,70.51
198,9017,31,767,799,39.64,62.01,1.11,68.83
199,382,37,718,759,49.44,146.65,1.12,164.25
