record_id,asset_id,sensor_temp_c,sensor_vibration,usage_hours,last_service_days_ago,fault_code,risk_score
1,1371,58.3,2.22,168.2,331,0,0.3262942161339422
2,684,83.3,4.91,2474.9,164,0,0.49959946727549465
3,1296,53.1,3.34,1069.0,208,0,0.33867656012176556
4,222,46.5,3.6,2500.8,224,0,0.4501662100456621
5,453,61.5,1.78,877.3,87,0,0.12819094368340944
6,1937,65.5,3.22,407.1,318,0,0.39436095890410955
7,213,55.4,3.33,694.0,183,0,0.29434550989345515
8,155,44.4,0.84,1356.9,49,0,0.12013219178082192
9,1143,98.3,2.19,3236.7,273,2,0.5434650684931507
10,1029,99.3,3.83,627.0,32,0,0.293279299847793
11,1149,77.9,4.1,1599.2,304,2,0.5064700152207001
12,288,85.0,1.99,3527.9,2,0,0.22559870624048706
13,361,44.4,3.68,3890.9,292,2,0.5948277777777778
14,517,82.3,1.53,2936.7,203,0,0.36131590563165905
15,1007,97.3,3.95,2232.2,245,0,0.5738665144596652
16,837,40.1,2.33,1681.3,344,2,0.4295608066971081
17,317,100.8,2.9,2702.5,159,2,0.4708999238964992
18,770,54.6,4.42,1423.0,284,3,0.4997496194824962
19,1281,107.2,0.13,2357.0,334,3,0.5870783866057839
20,1325,100.3,0.33,2998.3,69,0,0.342363698630137
21,1802,82.5,2.2,4781.4,274,1,0.5430838660578386
22,436,79.8,3.24,4478.0,217,0,0.5296179604261796
23,491,57.3,1.34,642.6,11,0,0.04574566210045663
24,962,101.1,0.69,20.8,275,0,0.36951933028919326
25,1440,44.6,1.64,407.5,23,0,0.04364345509893455
26,1547,85.5,0.71,1956.4,208,0,0.32919878234398786
27,1466,100.0,2.68,2709.5,266,2,0.549894596651446
28,1285,116.3,4.1,2771.5,123,3,0.6079676560121766
29,141,42.7,0.46,3397.4,336,0,0.4955937595129376
30,498,80.4,2.89,1594.2,200,0,0.3327706240487063
31,966,56.3,4.67,45.7,20,0,0.19880372907153732
32,1954,62.2,2.11,2608.2,168,0,0.3056579908675799
33,1970,54.7,3.55,337.7,224,0,0.32666065449010656
34,783,76.8,3.03,1643.1,116,0,0.2658860730593607
35,1545,94.1,4.83,98.9,23,0,0.2934990106544901
36,1541,98.4,1.34,496.4,95,0,0.21655799086757996
37,1947,51.8,4.45,1267.3,84,0,0.3104512176560122
38,1849,74.9,2.55,377.5,360,0,0.38640601217656007
39,148,49.9,2.57,3713.3,149,0,0.38036750380517503
40,1577,68.3,0.99,261.3,86,0,0.09305547945205479
41,938,112.1,2.95,4908.8,322,1,0.8084417047184171
42,1222,114.9,2.42,2786.5,142,0,0.506374809741248
43,422,57.0,2.93,1937.6,115,0,0.2746672754946728
44,1645,56.4,3.99,3183.0,36,0,0.3423767123287671
45,1885,57.3,2.54,3671.5,8,0,0.24727815829528157
46,280,63.7,3.5,1181.2,232,0,0.3774943683409437
47,357,57.2,2.97,2054.8,132,0,0.29937016742770167
48,1240,42.2,0.72,4291.9,305,0,0.516977701674277
49,752,46.3,0.91,3783.6,241,2,0.4302913242009132
50,1002,89.1,4.53,1173.6,146,0,0.4177555555555556
51,236,98.2,3.37,2036.0,365,0,0.638888888888889
52,237,104.4,3.59,3662.1,286,3,0.7061927701674278
53,1859,96.3,1.01,1046.5,282,0,0.4062286910197869
54,1554,80.2,1.0,3368.4,187,0,0.359020700152207
55,388,59.5,1.73,2030.5,313,0,0.39865030441400306
56,1685,96.4,1.14,4900.0,235,1,0.5779452054794522
57,157,45.4,1.03,4539.9,141,0,0.38098378995433785
58,191,91.9,1.92,3199.4,58,0,0.29682359208523595
59,166,56.0,0.13,4482.0,174,0,0.40790410958904105
60,160,41.9,0.12,1408.0,220,0,0.27913546423135466
61,1259,70.3,2.11,3203.1,267,3,0.42911894977168946
62,1040,90.2,3.54,3939.6,229,2,0.5873324200913242
63,1881,80.1,3.85,1132.1,193,0,0.36303904109589036
64,774,73.5,4.49,4198.2,120,0,0.5088223744292237
65,1389,49.1,2.43,158.6,116,0,0.14341385083713853
66,1454,110.2,1.79,1231.0,313,0,0.5220114155251142
67,63,110.4,4.04,2115.7,343,2,0.7356697869101979
68,1594,61.5,1.42,4000.5,56,0,0.2733915525114155
69,895,96.0,0.83,2776.9,67,0,0.30434832572298326
70,1147,81.5,1.83,181.1,291,0,0.2841478691019787
71,1602,70.8,1.93,2064.7,254,0,0.3466690258751903
72,1079,53.0,1.01,4837.3,115,0,0.3737617199391172
73,660,40.5,1.03,3691.1,236,0,0.4205862252663623
74,898,65.8,0.65,1077.1,108,0,0.15846902587519027
75,1344,42.6,2.65,1629.1,187,0,0.30461514459665145
76,1600,81.2,4.04,3621.0,37,0,0.3776232876712329
77,1185,49.0,2.59,1823.2,171,0,0.296786605783866
78,1400,79.0,0.25,1225.3,183,0,0.23519550989345514
79,1549,82.1,4.92,522.3,285,0,0.49562397260273966
80,651,51.3,2.0,77.5,0,0,0.0043055555555555555
81,104,82.0,0.83,1041.3,285,0,0.32923508371385085
82,1407,98.6,2.17,4162.8,160,0,0.49205205479452047
83,735,82.5,4.17,2084.4,290,0,0.5391957382039574
84,1462,50.7,2.88,1147.4,158,0,0.2667033485540335
85,949,100.2,3.78,1404.1,200,0,0.49154284627092854
86,688,46.5,0.48,3840.3,233,0,0.42613538812785395
87,1308,103.9,0.36,4004.2,240,3,0.5744114155251142
88,850,67.8,2.65,3045.7,300,2,0.48651149162861484
89,1429,104.8,2.44,4054.6,291,3,0.6581200913242008
90,477,119.8,2.96,4150.0,206,4,0.7037945205479451
91,712,73.3,2.37,318.5,327,0,0.3409912480974125
92,1190,80.1,3.12,3626.7,200,0,0.45935395738203955
93,868,50.5,3.48,3789.9,51,0,0.3557920091324201
94,1428,48.3,2.23,2678.0,182,0,0.33032115677321156
95,1819,75.4,0.71,730.9,105,0,0.13649596651445964
96,1173,97.8,4.46,4908.7,138,2,0.6616218417047184
97,1206,55.3,4.14,150.7,170,0,0.3062900304414003
98,1802,83.1,4.3,4140.7,362,5,0.7311880517503805
99,897,77.4,2.3,1718.0,15,0,0.12914307458143073
100,1035,44.7,3.48,1879.0,314,1,0.48981354642313546
101,685,86.6,1.47,3947.3,117,0,0.3628104261796043
102,1854,44.5,5.0,699.5,87,0,0.3183131659056317
103,475,58.3,1.47,2772.9,254,0,0.38601347031963473
104,1716,91.4,4.34,805.8,194,3,0.4412689497716895
