record_id,parking_lot_id,spot_id,vehicle_id,entry_time_min,exit_time_min,duration_min,fee
1,76,151,4783,914,1015,101,73.0
2,92,181,2282,975,1518,543,226.16
3,3,54,6405,625,1145,520,475.85
4,144,173,8502,393,786,393,303.61
5,69,179,4129,253,646,393,259.15
6,137,465,309,1256,1308,52,20.97
7,24,192,8284,1264,1797,533,312.47
8,47,260,2290,1095,1187,92,43.84
9,100,456,3776,802,922,120,69.42
10,131,223,1319,171,721,550,492.2
11,132,241,2426,1133,1571,438,434.03
12,14,31,6885,1177,1203,26,19.0
13,80,130,3733,1059,1087,28,10.96
14,78,329,7936,1426,1703,277,186.18
15,114,96,3219,1230,1569,339,122.08
16,81,287,1822,457,635,178,129.96
17,137,447,3212,352,694,342,339.85
18,19,434,2831,826,1308,482,166.72
19,56,398,9652,789,1367,578,325.02
20,118,278,620,732,749,17,9.18
21,23,208,7873,175,491,316,190.37
22,79,15,9624,1290,1718,428,226.9
23,93,443,3882,1429,1469,40,23.38
24,29,351,1991,443,613,170,101.71
25,133,284,4286,1143,1170,27,12.75
26,110,240,7077,425,854,429,256.25
27,25,119,6221,885,1228,343,267.82
28,128,90,1791,1024,1607,583,373.79
29,76,436,1317,279,879,600,251.93
30,146,40,1693,425,786,361,269.29
31,23,394,2468,1214,1530,316,315.97
32,136,201,3620,9,287,278,197.68
33,94,165,5425,504,678,174,143.15
34,92,490,5298,150,529,379,267.58
35,7,211,848,577,686,109,66.46
36,25,118,2823,1017,1133,116,63.67
37,37,78,1355,451,559,108,42.78
38,92,283,3956,775,1101,326,208.08
39,75,110,1594,995,1554,559,381.73
40,64,365,875,383,596,213,88.31
41,147,159,6188,345,644,299,195.07
42,108,392,5997,805,1209,404,145.25
43,113,397,8439,631,932,301,229.37
44,8,199,3599,118,288,170,113.28
45,53,338,931,113,268,155,108.94
46,72,499,5102,352,479,127,98.96
47,90,95,3295,27,151,124,47.72
48,137,110,2605,949,1146,197,86.31
49,150,9,209,433,755,322,263.76
50,52,491,2776,722,877,155,55.11
51,46,284,8745,957,1235,278,249.36
52,7,317,2299,928,969,41,38.64
53,88,405,2189,979,1577,598,462.11
54,79,335,5149,350,761,411,389.87
55,147,162,8250,1345,1591,246,209.03
