command,u,v,distance,install_cost,capacity,loss_factor,extra
INIT,1000,4998,,,,,
EDGE,654,114,26,1528,2303,15,
EDGE,228,142,755,219,4517,5,
EDGE,604,432,33,71,817,13,
EDGE,238,517,617,64,4647,12,
EDGE,733,665,719,1126,3486,14,
EDGE,459,603,285,1667,103,48,
EDGE,825,163,715,875,2837,17,
EDGE,159,220,981,1573,2807,6,
EDGE,94,389,100,745,2867,38,
EDGE,270,826,45,1504,3813,34,
EDGE,127,996,945,785,695,35,
EDGE,300,849,644,1276,3012,36,
EDGE,196,721,72,103,1916,49,
EDGE,296,81,876,486,877,24,
EDGE,284,464,651,1718,3038,10,
EDGE,379,363,215,1382,2237,44,
EDGE,959,699,664,156,1451,34,
EDGE,746,250,168,956,3158,17,
EDGE,947,655,705,1150,1849,43,
EDGE,332,863,787,1599,508,14,
EDGE,841,32,825,656,3336,17,
EDGE,67,216,936,1941,4696,45,
EDGE,322,217,672,1032,3291,41,
EDGE,469,146,272,295,2070,47,
EDGE,574,551,270,1539,4838,27,
EDGE,919,597,409,751,1846,8,
EDGE,521,505,94,1557,435,7,
EDGE,156,642,164,1632,3508,38,
EDGE,65,394,391,1230,3884,33,
EDGE,257,994,567,1772,144,43,
EDGE,738,117,699,1822,4448,48,
EDGE,273,787,657,706,963,18,
EDGE,445,161,465,16,2207,32,
EDGE,780,182,520,1879,921,40,
EDGE,305,861,655,1049,1679,9,
EDGE,382,780,166,1114,4394,0,
EDGE,613,331,501,49,966,23,
EDGE,899,851,827,639,2011,3,
EDGE,246,899,581,1949,695,5,
EDGE,749,497,836,151,4413,49,
EDGE,128,131,676,983,4553,10,
EDGE,271,540,894,1252,3516,13,
EDGE,951,552,774,1504,1697,45,
EDGE,319,408,688,1340,3109,28,
EDGE,921,529,463,257,2080,14,
EDGE,65,346,22,1214,4587,14,
EDGE,602,225,8,155,532,14,
EDGE,69,927,33,1770,2756,4,
EDGE,526,243,286,1380,4026,13,
EDGE,552,135,741,1925,4727,36,
EDGE,484,248,804,978,3384,12,
EDGE,96,99,675,892,2952,27,
EDGE,420,478,885,1503,493,43,
EDGE,669,661,101,134,3348,46,
EDGE,347,819,883,233,2086,12,
EDGE,194,549,460,297,3506,11,
EDGE,285,473,256,1800,667,28,
EDGE,827,882,877,1137,852,3,
EDGE,667,553,857,40,814,48,
EDGE,869,242,171,842,4028,30,
EDGE,218,885,411,1858,530,10,
EDGE,388,2,400,553,3777,18,
