command,u,v,transport_cost,line_capacity,item_id,source_x,source_y,mass,energy_density,pickup_cost,digester_id,time_slot,timeslot_capacity,extra
INIT,500,3000,,,,,,,,,,,,
EDGE,116,158,379.5,71,,,,,,,,,,
EDGE,13,161,238.42,137,,,,,,,,,,
EDGE,445,493,232.34,125,,,,,,,,,,
EDGE,144,145,333.49,193,,,,,,,,,,
EDGE,32,79,14.08,149,,,,,,,,,,
EDGE,318,160,166.33,68,,,,,,,,,,
EDGE,487,463,119.44,118,,,,,,,,,,
EDGE,95,176,372.91,65,,,,,,,,,,
EDGE,451,213,469.12,101,,,,,,,,,,
EDGE,347,424,176.01,146,,,,,,,,,,
EDGE,100,184,485.74,176,,,,,,,,,,
EDGE,196,307,443.49,61,,,,,,,,,,
EDGE,97,20,430.31,64,,,,,,,,,,
EDGE,320,487,268.6,87,,,,,,,,,,
EDGE,342,374,87.57,101,,,,,,,,,,
EDGE,430,228,159.15,133,,,,,,,,,,
EDGE,312,217,427.2,176,,,,,,,,,,
EDGE,114,129,217.52,187,,,,,,,,,,
EDGE,396,192,220.41,119,,,,,,,,,,
EDGE,180,370,264.67,52,,,,,,,,,,
EDGE,359,402,165.41,65,,,,,,,,,,
EDGE,400,309,26.03,189,,,,,,,,,,
EDGE,431,274,417.4,193,,,,,,,,,,
EDGE,481,95,189.34,197,,,,,,,,,,
EDGE,309,321,323.3,193,,,,,,,,,,
EDGE,191,202,477.52,155,,,,,,,,,,
EDGE,429,142,373.16,118,,,,,,,,,,
EDGE,389,476,273.54,51,,,,,,,,,,
EDGE,416,25,93.48,112,,,,,,,,,,
EDGE,34,103,380.49,138,,,,,,,,,,
EDGE,403,75,99.58,76,,,,,,,,,,
EDGE,462,256,174.24,92,,,,,,,,,,
EDGE,36,8,327.55,190,,,,,,,,,,
EDGE,97,412,463.94,154,,,,,,,,,,
EDGE,308,273,381.4,97,,,,,,,,,,
EDGE,15,347,435.84,185,,,,,,,,,,
EDGE,340,237,89.58,51,,,,,,,,,,
EDGE,93,271,167.51,185,,,,,,,,,,
EDGE,12,465,352.61,121,,,,,,,,,,
EDGE,116,436,341.53,146,,,,,,,,,,
EDGE,18,196,443.93,104,,,,,,,,,,
EDGE,94,479,483.31,152,,,,,,,,,,
EDGE,261,497,335.46,185,,,,,,,,,,
EDGE,427,19,71.73,176,,,,,,,,,,
EDGE,153,449,225.48,171,,,,,,,,,,
EDGE,497,108,354.77,197,,,,,,,,,,
EDGE,250,52,208.69,155,,,,,,,,,,
EDGE,488,382,246.07,181,,,,,,,,,,
EDGE,326,93,191.22,177,,,,,,,,,,
EDGE,240,7,129.0,136,,,,,,,,,,
EDGE,333,465,403.46,161,,,,,,,,,,
EDGE,172,284,86.13,107,,,,,,,,,,
EDGE,276,119,384.78,135,,,,,,,,,,
EDGE,438,325,456.29,122,,,,,,,,,,
EDGE,173,381,191.3,100,,,,,,,,,,
EDGE,423,214,389.15,130,,,,,,,,,,
EDGE,426,377,164.08,141,,,,,,,,,,
EDGE,352,469,118.93,102,,,,,,,,,,
EDGE,485,216,309.82,60,,,,,,,,,,
EDGE,180,109,141.56,64,,,,,,,,,,
EDGE,329,361,231.65,101,,,,,,,,,,
EDGE,414,420,432.17,110,,,,,,,,,,
EDGE,105,211,48.41,72,,,,,,,,,,
EDGE,14,401,158.39,183,,,,,,,,,,
EDGE,361,139,315.3,158,,,,,,,,,,
EDGE,235,341,147.69,189,,,,,,,,,,
EDGE,330,135,114.62,50,,,,,,,,,,
EDGE,445,324,210.18,50,,,,,,,,,,
EDGE,362,410,366.03,190,,,,,,,,,,
EDGE,371,220,252.37,174,,,,,,,,,,
EDGE,167,306,173.71,119,,,,,,,,,,
EDGE,408,313,471.47,111,,,,,,,,,,
EDGE,477,122,367.37,197,,,,,,,,,,
EDGE,297,70,55.57,184,,,,,,,,,,
EDGE,61,89,109.53,142,,,,,,,,,,
EDGE,416,223,99.73,148,,,,,,,,,,
EDGE,48,469,477.33,112,,,,,,,,,,
EDGE,62,371,76.55,142,,,,,,,,,,
EDGE,92,412,274.38,132,,,,,,,,,,
EDGE,61,281,171.47,164,,,,,,,,,,
EDGE,79,295,27.92,57,,,,,,,,,,
EDGE,139,350,488.06,113,,,,,,,,,,
EDGE,160,279,230.62,147,,,,,,,,,,
EDGE,485,393,196.46,90,,,,,,,,,,
EDGE,129,255,206.97,143,,,,,,,,,,
EDGE,149,99,334.81,106,,,,,,,,,,
EDGE,105,15,25.38,126,,,,,,,,,,
EDGE,169,284,412.73,179,,,,,,,,,,
EDGE,224,374,195.43,198,,,,,,,,,,
EDGE,291,242,426.85,143,,,,,,,,,,
EDGE,139,22,475.55,173,,,,,,,,,,
EDGE,126,178,409.17,109,,,,,,,,,,
EDGE,258,92,185.46,80,,,,,,,,,,
EDGE,9,243,256.98,91,,,,,,,,,,
EDGE,327,103,124.42,66,,,,,,,,,,
EDGE,453,59,233.15,83,,,,,,,,,,
EDGE,117,148,435.41,130,,,,,,,,,,
EDGE,142,89,428.23,90,,,,,,,,,,
EDGE,1,499,440.19,71,,,,,,,,,,
EDGE,352,422,484.54,169,,,,,,,,,,
EDGE,268,367,309.82,93,,,,,,,,,,
EDGE,309,63,455.07,70,,,,,,,,,,
EDGE,142,216,446.47,117,,,,,,,,,,
EDGE,33,233,109.2,80,,,,,,,,,,
EDGE,165,0,414.82,189,,,,,,,,,,
EDGE,345,20,444.34,73,,,,,,,,,,
EDGE,1,5,476.59,81,,,,,,,,,,
EDGE,303,406,190.06,185,,,,,,,,,,
EDGE,182,187,339.4,70,,,,,,,,,,
EDGE,81,222,232.27,90,,,,,,,,,,
EDGE,221,142,174.24,145,,,,,,,,,,
EDGE,251,481,169.16,149,,,,,,,,,,
EDGE,192,454,371.94,132,,,,,,,,,,
EDGE,498,63,190.13,200,,,,,,,,,,
EDGE,485,322,340.39,128,,,,,,,,,,
EDGE,421,27,208.77,50,,,,,,,,,,
EDGE,466,84,413.45,194,,,,,,,,,,
EDGE,70,17,201.45,197,,,,,,,,,,
EDGE,186,151,391.12,181,,,,,,,,,,
EDGE,1,23,302.65,70,,,,,,,,,,
EDGE,406,182,187.4,135,,,,,,,,,,
EDGE,117,477,333.17,141,,,,,,,,,,
EDGE,2,309,481.3,142,,,,,,,,,,
EDGE,388,71,271.14,96,,,,,,,,,,
EDGE,372,495,88.16,80,,,,,,,,,,
EDGE,64,147,253.12,154,,,,,,,,,,
EDGE,349,219,389.76,87,,,,,,,,,,
EDGE,120,330,254.38,177,,,,,,,,,,
EDGE,326,309,87.87,67,,,,,,,,,,
EDGE,309,104,425.05,87,,,,,,,,,,
EDGE,465,188,211.17,126,,,,,,,,,,
EDGE,348,347,39.18,96,,,,,,,,,,
EDGE,397,89,258.92,149,,,,,,,,,,
EDGE,291,410,126.95,94,,,,,,,,,,
EDGE,50,164,327.62,187,,,,,,,,,,
EDGE,329,266,461.92,149,,,,,,,,,,
EDGE,384,116,262.21,68,,,,,,,,,,
EDGE,208,52,46.95,55,,,,,,,,,,
EDGE,196,272,491.35,80,,,,,,,,,,
EDGE,323,202,124.42,71,,,,,,,,,,
EDGE,317,475,135.2,81,,,,,,,,,,
EDGE,448,253,402.61,197,,,,,,,,,,
EDGE,150,358,130.41,128,,,,,,,,,,
EDGE,59,368,353.91,159,,,,,,,,,,
EDGE,480,368,475.03,59,,,,,,,,,,
EDGE,284,408,163.26,146,,,,,,,,,,
EDGE,218,292,134.15,155,,,,,,,,,,
EDGE,340,236,431.2,195,,,,,,,,,,
EDGE,310,209,21.56,105,,,,,,,,,,
EDGE,160,237,183.09,151,,,,,,,,,,
EDGE,235,327,88.1,73,,,,,,,,,,
EDGE,374,421,115.72,180,,,,,,,,,,
EDGE,47,411,170.29,68,,,,,,,,,,
EDGE,372,412,194.98,125,,,,,,,,,,
EDGE,127,33,149.08,111,,,,,,,,,,
EDGE,431,61,353.23,94,,,,,,,,,,
EDGE,490,278,48.85,51,,,,,,,,,,
EDGE,39,330,272.49,158,,,,,,,,,,
EDGE,283,101,40.07,56,,,,,,,,,,
EDGE,481,359,156.64,84,,,,,,,,,,
EDGE,138,308,76.46,180,,,,,,,,,,
EDGE,123,355,145.74,54,,,,,,,,,,
EDGE,430,46,250.58,169,,,,,,,,,,
EDGE,340,181,270.2,93,,,,,,,,,,
EDGE,72,124,105.64,134,,,,,,,,,,
EDGE,68,140,391.17,117,,,,,,,,,,
EDGE,24,231,272.22,61,,,,,,,,,,
EDGE,327,149,414.15,182,,,,,,,,,,
EDGE,84,85,303.95,60,,,,,,,,,,
EDGE,106,244,480.93,155,,,,,,,,,,
EDGE,297,47,34.9,55,,,,,,,,,,
EDGE,462,213,447.62,111,,,,,,,,,,
EDGE,488,235,113.15,77,,,,,,,,,,
EDGE,267,382,485.89,106,,,,,,,,,,
EDGE,87,485,115.25,123,,,,,,,,,,
EDGE,33,107,390.24,130,,,,,,,,,,
EDGE,238,478,319.02,99,,,,,,,,,,
EDGE,392,311,153.65,80,,,,,,,,,,
EDGE,448,405,97.81,74,,,,,,,,,,
EDGE,41,147,294.62,197,,,,,,,,,,
EDGE,172,160,289.32,98,,,,,,,,,,
EDGE,270,279,368.29,95,,,,,,,,,,
EDGE,264,129,322.49,102,,,,,,,,,,
EDGE,101,445,234.54,61,,,,,,,,,,
EDGE,444,170,43.42,114,,,,,,,,,,
EDGE,319,436,11.52,189,,,,,,,,,,
EDGE,125,24,486.5,167,,,,,,,,,,
EDGE,340,121,121.68,139,,,,,,,,,,
EDGE,199,350,237.35,66,,,,,,,,,,
EDGE,12,315,282.45,99,,,,,,,,,,
EDGE,55,185,489.8,70,,,,,,,,,,
EDGE,380,80,246.2,136,,,,,,,,,,
EDGE,124,249,378.02,71,,,,,,,,,,
EDGE,354,185,423.62,139,,,,,,,,,,
EDGE,261,104,249.84,191,,,,,,,,,,
EDGE,337,454,278.51,146,,,,,,,,,,
EDGE,411,333,355.94,125,,,,,,,,,,
EDGE,208,345,342.88,102,,,,,,,,,,
EDGE,45,192,270.89,95,,,,,,,,,,
EDGE,259,101,303.22,72,,,,,,,,,,
EDGE,447,371,168.06,131,,,,,,,,,,
EDGE,276,361,310.73,57,,,,,,,,,,
EDGE,354,337,349.58,153,,,,,,,,,,
EDGE,238,151,381.97,188,,,,,,,,,,
EDGE,350,86,337.98,163,,,,,,,,,,
EDGE,9,432,230.43,65,,,,,,,,,,
EDGE,466,390,294.47,191,,,,,,,,,,
EDGE,18,210,135.84,72,,,,,,,,,,
EDGE,196,11,58.73,132,,,,,,,,,,
EDGE,488,8,321.39,90,,,,,,,,,,
EDGE,367,251,32.2,69,,,,,,,,,,
EDGE,246,38,250.98,155,,,,,,,,,,
EDGE,335,92,147.89,149,,,,,,,,,,
EDGE,188,80,444.78,77,,,,,,,,,,
EDGE,333,138,91.07,112,,,,,,,,,,
EDGE,326,163,188.74,116,,,,,,,,,,
EDGE,275,178,259.25,111,,,,,,,,,,
EDGE,36,11,330.37,122,,,,,,,,,,
EDGE,117,8,81.95,127,,,,,,,,,,
EDGE,343,424,348.61,61,,,,,,,,,,
EDGE,489,374,259.37,183,,,,,,,,,,
EDGE,3,73,444.88,197,,,,,,,,,,
EDGE,317,185,402.75,188,,,,,,,,,,
EDGE,385,53,92.43,188,,,,,,,,,,
EDGE,275,187,131.56,168,,,,,,,,,,
EDGE,376,455,73.33,87,,,,,,,,,,
EDGE,303,173,200.82,82,,,,,,,,,,
EDGE,486,136,276.71,139,,,,,,,,,,
EDGE,338,362,209.17,71,,,,,,,,,,
EDGE,496,134,300.71,124,,,,,,,,,,
EDGE,223,83,162.52,183,,,,,,,,,,
EDGE,54,101,234.3,176,,,,,,,,,,
EDGE,210,297,388.07,145,,,,,,,,,,
EDGE,423,491,408.15,181,,,,,,,,,,
EDGE,443,485,23.05,199,,,,,,,,,,
EDGE,271,354,333.84,89,,,,,,,,,,
EDGE,193,161,252.94,74,,,,,,,,,,
EDGE,272,110,396.42,115,,,,,,,,,,
