command,u,v,travel_time,energy_cost,congestion,install_cost,capacity,price
INIT,1000,4998,,,,,,
ROAD,571,84,83,3.801,22,35187,1,2.49
ROAD,384,583,30,0.483,51,6902,2,1.47
ROAD,216,384,13,1.969,78,2326,18,3.04
ROAD,797,922,25,3.51,3,46914,8,4.92
ROAD,962,800,82,1.91,58,23730,17,4.65
ROAD,609,113,70,1.052,15,16454,20,1.13
ROAD,803,139,71,4.367,11,38922,15,4.06
ROAD,453,832,74,0.957,93,21741,17,2.79
ROAD,818,816,59,1.916,9,49544,19,2.73
ROAD,915,601,4,3.459,78,16534,12,1.91
ROAD,543,614,40,0.892,35,22204,10,2.44
ROAD,571,150,86,3.762,69,18491,19,3.55
ROAD,151,0,45,4.097,79,36404,19,3.16
ROAD,584,157,65,4.144,43,34190,8,2.23
ROAD,25,517,74,1.953,4,13980,7,1.82
ROAD,146,647,57,3.875,97,10406,9,3.04
ROAD,96,596,56,1.04,18,11793,8,3.93
ROAD,265,698,18,3.339,40,49087,12,1.6
ROAD,969,901,30,2.801,57,12580,3,4.73
ROAD,156,246,86,2.001,90,44760,19,3.23
ROAD,10,907,46,3.322,66,23916,12,3.07
ROAD,333,266,9,4.453,19,20656,17,2.82
ROAD,437,635,80,1.994,42,8217,8,4.85
ROAD,927,616,20,1.307,14,22398,8,3.96
ROAD,507,667,24,3.205,80,5274,4,1.73
ROAD,358,861,79,0.458,0,38790,4,4.24
ROAD,605,609,44,3.457,28,44959,9,3.43
ROAD,197,655,7,3.007,71,38817,14,3.86
ROAD,290,575,35,3.065,25,18646,15,3.5
ROAD,653,672,7,1.738,96,35329,19,2.86
ROAD,152,713,81,0.627,84,26127,13,4.78
ROAD,427,50,12,3.97,99,19366,3,4.24
ROAD,934,941,68,2.038,69,24745,3,2.01
ROAD,344,734,47,4.145,66,2300,5,3.18
ROAD,470,936,40,0.684,32,17505,4,3.7
ROAD,1,737,80,3.442,38,43063,9,1.18
ROAD,684,6,39,1.504,55,2946,6,4.42
ROAD,381,915,70,1.623,45,42902,5,4.38
ROAD,156,627,31,1.34,84,33160,16,2.88
ROAD,189,206,31,2.832,13,27699,9,1.59
ROAD,701,284,35,1.226,53,35258,18,1.53
ROAD,665,642,28,1.097,65,8551,11,4.49
ROAD,298,400,1,0.42,38,9402,1,1.82
ROAD,904,151,35,1.438,80,1507,5,4.89
ROAD,943,142,89,0.242,27,10578,16,4.04
ROAD,632,598,20,0.612,6,13841,18,1.62
ROAD,114,65,42,1.078,46,8712,11,3.31
ROAD,424,508,32,0.918,71,13215,20,1.88
ROAD,551,220,40,1.549,100,42373,6,3.27
ROAD,980,376,56,0.343,22,44221,5,4.75
