command,node_id,x,y,waste_volume,urgency,region,extra
NODE,0,1923.638,2868.425,31,5,,
NODE,1,3062.919,3093.437,48,2,,
NODE,2,5689.864,7356.998,53,5,,
NODE,3,5099.949,1549.051,82,1,,
NODE,4,5045.136,6687.767,86,3,,
NODE,5,4751.08,9016.767,141,3,,
NODE,6,2054.307,8930.786,73,3,,
NODE,7,5579.616,5490.072,61,2,,
NODE,8,3044.511,5732.352,175,1,,
NODE,9,2880.34,6873.919,147,2,,
NODE,10,1128.167,7357.633,188,4,,
NODE,11,1697.026,5445.133,110,1,,
NODE,12,9907.069,9517.305,79,1,,
NODE,13,8152.736,1199.514,105,1,,
NODE,14,5152.365,8470.583,89,5,,
NODE,15,4233.129,5823.811,184,1,,
NODE,16,9328.016,7757.044,137,2,,
NODE,17,6313.393,1163.017,9,1,,
NODE,18,3231.081,4124.379,91,1,,
NODE,19,7847.601,1279.833,58,1,,
NODE,20,4880.56,7019.657,189,4,,
NODE,21,7736.207,413.854,152,1,,
NODE,22,8421.493,776.574,75,2,,
NODE,23,1551.488,33.191,3,3,,
NODE,24,6832.89,2624.406,181,1,,
NODE,25,9681.543,4965.294,48,1,,
NODE,26,5814.398,9385.397,77,3,,
NODE,27,7543.732,5565.46,157,5,,
NODE,28,6895.271,3809.13,78,5,,
NODE,29,9587.858,7336.528,153,2,,
NODE,30,3198.823,5049.865,42,3,,
NODE,31,8626.556,2367.75,161,1,,
NODE,32,1729.321,4563.914,95,2,,
NODE,33,3573.51,6740.099,127,2,,
NODE,34,4762.204,7005.745,100,5,,
NODE,35,288.6,3984.782,25,2,,
NODE,36,2415.798,4674.05,107,5,,
NODE,37,995.788,9080.574,65,3,,
NODE,38,4072.313,685.652,30,3,,
NODE,39,830.913,531.762,164,2,,
NODE,40,7463.249,6533.703,106,4,,
NODE,41,2837.448,2496.379,178,3,,
NODE,42,9535.542,28.395,56,5,,
NODE,43,419.041,8783.083,163,3,,
NODE,44,678.907,2113.401,41,1,,
NODE,45,3984.034,2510.116,15,1,,
NODE,46,7001.718,1881.959,165,5,,
NODE,47,6431.299,1602.344,186,3,,
NODE,48,9332.609,218.146,63,2,,
NODE,49,2843.724,9805.65,77,1,,
NODE,50,4567.391,1026.78,118,4,,
NODE,51,5543.379,7697.68,104,4,,
NODE,52,6424.888,4186.662,88,5,,
NODE,53,6067.184,8248.285,125,1,,
NODE,54,7699.283,2477.323,114,5,,
NODE,55,294.837,5591.593,55,1,,
NODE,56,3319.313,4258.38,59,2,,
NODE,57,1099.753,1827.423,69,2,,
NODE,58,4897.979,4136.864,85,4,,
NODE,59,3062.755,3345.515,62,4,,
NODE,60,648.13,6872.435,111,4,,
NODE,61,268.235,2298.261,8,4,,
NODE,62,3904.916,2970.847,163,4,,
NODE,63,8119.117,1103.136,138,3,,
NODE,64,389.12,3405.542,94,2,,
