command,timestamp,sensor_id,contamination,pressure,flow,report_text,query_l,query_r,pattern,extra
SENSOR,1735689600,26,0.659,6.549,37.957,,,,,
SENSOR,1735689660,17,0.925,5.443,81.386,,,,,
SENSOR,1735689720,10,0.779,7.868,47.695,,,,,
SENSOR,1735689780,1,0.634,2.279,33.756,,,,,
SENSOR,1735689840,10,3.589,8.773,57.01,,,,,
SENSOR,1735689900,40,1.169,5.01,91.275,,,,,
SENSOR,1735689960,21,0.02,9.021,51.722,,,,,
SENSOR,1735690020,43,1.778,4.551,32.15,,,,,
SENSOR,1735690080,19,3.933,4.099,56.02,,,,,
SENSOR,1735690140,17,2.203,8.286,72.384,,,,,
SENSOR,1735690200,30,1.283,9.781,16.691,,,,,
SENSOR,1735690260,18,2.403,9.274,88.319,,,,,
SENSOR,1735690320,46,1.89,4.874,94.398,,,,,
SENSOR,1735690380,30,1.144,3.017,62.098,,,,,
SENSOR,1735690440,26,2.72,4.791,87.196,,,,,
SENSOR,1735690500,23,3.571,5.759,8.527,,,,,
SENSOR,1735690560,19,4.455,1.544,21.695,,,,,
SENSOR,1735690620,27,0.043,1.211,55.553,,,,,
SENSOR,1735690680,38,3.327,2.845,94.897,,,,,
SENSOR,1735690740,44,4.083,5.378,21.802,,,,,
SENSOR,1735690800,27,1.76,2.462,82.521,,,,,
SENSOR,1735690860,27,4.015,9.868,50.545,,,,,
SENSOR,1735690920,24,3.188,8.777,80.111,,,,,
SENSOR,1735690980,39,1.113,4.366,29.734,,,,,
SENSOR,1735691040,34,2.732,2.366,2.562,,,,,
SENSOR,1735691100,11,0.248,5.187,20.842,,,,,
SENSOR,1735691160,20,1.849,2.276,10.269,,,,,
SENSOR,1735691220,29,2.287,9.034,61.69,,,,,
SENSOR,1735691280,18,4.951,3.22,96.763,,,,,
SENSOR,1735691340,6,4.201,2.675,68.633,,,,,
SENSOR,1735691400,8,0.69,1.647,7.737,,,,,
SENSOR,1735691460,23,4.118,1.233,43.878,,,,,
SENSOR,1735691520,11,1.366,2.8,55.572,,,,,
SENSOR,1735691580,10,0.956,8.884,56.914,,,,,
SENSOR,1735691640,28,2.016,8.695,10.165,,,,,
SENSOR,1735691700,7,4.068,9.126,26.412,,,,,
SENSOR,1735691760,25,3.52,1.542,30.769,,,,,
SENSOR,1735691820,24,3.055,8.933,18.489,,,,,
SENSOR,1735691880,48,3.796,3.274,13.067,,,,,
SENSOR,1735691940,41,2.489,3.988,46.405,,,,,
