command,plot_id,x,y,moisture,growth,temp,humidity,light,co2,yield,extra
PLOT,0,216.666,928.104,11.085,1.612,23.122,84.261,448.643,390.032,5.994,
PLOT,1,553.363,1373.552,16.13,3.301,21.043,45.282,1527.468,768.079,8.589,
PLOT,2,850.58,456.979,68.726,1.688,21.923,43.169,962.328,382.007,7.934,
PLOT,3,747.741,1473.407,35.214,4.213,30.392,82.917,1734.714,330.922,4.811,
PLOT,4,1050.294,546.971,89.797,2.072,26.36,75.561,618.422,336.142,8.05,
PLOT,5,1224.498,1494.956,50.223,0.341,19.597,32.118,675.631,615.116,5.119,
PLOT,6,180.18,56.452,60.155,3.05,21.739,30.834,153.89,614.101,6.383,
PLOT,7,1026.313,1002.938,75.741,2.313,31.475,52.824,452.572,538.756,2.479,
PLOT,8,50.711,1400.431,30.788,3.196,26.762,39.151,786.752,630.292,2.386,
PLOT,9,1568.39,624.457,44.287,3.339,23.879,88.318,1975.1,655.244,4.34,
PLOT,10,1894.569,483.418,55.908,2.057,28.068,82.033,1510.268,532.404,6.569,
PLOT,11,1668.563,1720.657,22.054,2.953,19.106,51.488,1208.114,605.874,2.623,
PLOT,12,585.209,540.763,77.306,0.513,20.044,35.185,985.764,680.615,1.478,
PLOT,13,804.907,1166.054,34.823,4.362,25.627,37.48,259.447,781.231,2.589,
PLOT,14,136.414,396.717,40.886,2.815,28.037,38.756,1269.495,628.029,9.721,
PLOT,15,1713.423,760.532,79.063,3.501,18.636,64.345,1865.954,551.637,2.073,
PLOT,16,1528.59,187.881,47.276,3.521,16.451,41.55,450.507,583.986,7.853,
PLOT,17,1040.462,993.135,41.039,4.679,25.052,62.03,212.653,711.746,9.379,
PLOT,18,341.044,965.406,61.85,0.467,29.159,63.879,661.522,558.86,0.769,
PLOT,19,1937.072,1134.434,46.889,0.086,18.372,73.718,1179.304,523.725,9.07,
PLOT,20,100.694,387.221,41.031,0.805,26.647,45.856,584.708,515.297,8.592,
PLOT,21,1210.864,534.619,62.075,1.473,18.266,83.217,1302.55,748.178,0.671,
PLOT,22,1807.949,342.837,61.24,4.017,25.279,69.163,1104.047,678.577,2.612,
PLOT,23,362.39,955.889,67.207,0.998,27.866,74.518,1703.776,686.052,7.21,
PLOT,24,735.039,138.205,30.338,2.295,23.895,49.968,1487.025,504.77,5.061,
PLOT,25,1904.244,912.559,42.986,2.432,20.493,51.637,1219.907,638.389,0.476,
PLOT,26,1822.137,881.858,45.633,3.29,19.026,75.669,1931.366,304.123,0.853,
PLOT,27,1902.185,605.397,60.944,3.979,23.055,78.008,1810.729,455.713,3.861,
PLOT,28,733.742,1096.81,44.556,1.978,33.518,80.731,1448.817,322.955,1.396,
PLOT,29,996.001,1319.824,17.318,1.843,27.175,83.786,1627.884,550.244,4.422,
PLOT,30,1618.553,195.799,17.906,2.801,18.524,44.602,1390.914,359.113,5.955,
PLOT,31,202.469,1193.114,40.606,4.997,15.122,59.136,1690.312,645.266,8.013,
PLOT,32,1535.78,875.049,88.206,4.453,33.507,60.764,1027.496,743.155,5.517,
PLOT,33,866.68,1889.067,89.757,2.318,25.37,73.536,1398.919,746.549,8.269,
PLOT,34,1836.651,1594.837,87.1,0.962,26.462,78.934,833.74,549.487,8.321,
PLOT,35,630.859,1933.026,53.964,0.786,27.73,61.473,1980.23,789.944,2.206,
PLOT,36,1239.876,1953.992,79.293,4.705,24.51,74.443,828.902,555.702,6.113,
PLOT,37,29.459,986.002,57.238,0.988,15.598,30.327,834.742,589.627,5.566,
PLOT,38,1770.635,1952.025,50.873,4.751,18.027,77.634,614.656,419.207,2.961,
PLOT,39,155.478,1677.843,25.721,1.629,34.652,84.301,871.145,486.787,5.225,
PLOT,40,635.311,1263.698,57.645,3.3,29.596,87.895,1338.422,562.347,5.248,
PLOT,41,37.975,1458.817,60.512,3.389,17.794,69.874,432.402,444.505,1.439,
PLOT,42,698.407,1342.649,34.157,1.026,15.862,72.251,1233.399,422.428,7.198,
PLOT,43,65.197,153.503,85.78,4.076,17.791,55.528,682.723,460.496,5.142,
PLOT,44,1248.755,1671.096,41.303,4.457,16.66,84.638,1009.195,746.101,4.739,
PLOT,45,595.941,511.027,87.45,2.849,23.096,85.477,1804.657,347.73,3.332,
PLOT,46,1231.976,785.045,43.496,2.506,29.516,59.219,845.975,629.243,0.396,
PLOT,47,17.643,132.337,61.202,4.891,34.623,73.249,453.248,556.676,0.446,
PLOT,48,1078.835,1875.846,62.981,0.383,21.56,76.753,1103.268,474.542,8.922,
PLOT,49,992.497,643.819,29.869,1.719,34.733,79.383,720.631,524.116,9.523,
PLOT,50,816.428,607.008,76.253,3.079,19.967,43.25,881.029,739.808,9.477,
PLOT,51,1839.345,453.096,65.345,3.308,17.512,47.971,469.909,532.516,2.113,
PLOT,52,1486.399,220.424,47.71,2.522,19.733,34.593,1621.321,445.618,6.579,
PLOT,53,964.73,1578.108,34.927,4.982,21.252,52.851,1158.688,570.836,2.73,
PLOT,54,1812.12,1103.612,61.325,2.47,24.582,62.822,602.904,321.36,5.477,
PLOT,55,1257.973,1709.032,68.592,0.326,17.87,63.347,1917.566,388.077,7.243,
PLOT,56,648.14,826.955,12.758,1.065,21.423,44.724,1793.441,705.496,4.117,
PLOT,57,1440.668,888.051,41.515,2.392,30.194,69.81,1975.262,777.666,9.276,
PLOT,58,1055.871,1169.234,67.648,2.991,17.958,51.491,442.671,740.364,9.613,
PLOT,59,679.782,407.589,28.016,2.041,18.463,53.44,461.025,610.941,1.678,
PLOT,60,412.549,1005.964,30.167,3.402,17.649,75.295,849.981,357.848,4.008,
PLOT,61,494.123,1304.497,70.061,1.812,32.766,33.591,1193.133,675.8,2.481,
PLOT,62,1911.697,1134.708,12.198,1.649,27.012,48.316,583.839,692.552,3.167,
PLOT,63,1450.502,688.296,41.82,3.017,18.201,74.57,959.341,387.108,8.58,
PLOT,64,1079.789,105.644,86.156,0.617,23.533,61.519,201.968,669.302,2.755,
PLOT,65,1096.521,1104.114,54.508,1.344,22.992,63.74,472.129,710.925,9.707,
PLOT,66,1693.212,471.752,74.933,1.074,29.328,41.591,402.728,474.04,6.674,
PLOT,67,1381.652,24.118,14.793,2.65,18.845,70.777,459.656,751.229,2.267,
PLOT,68,70.404,320.08,52.81,2.14,30.758,80.296,638.026,785.048,0.425,
PLOT,69,1111.275,265.901,38.848,1.82,23.967,30.718,876.325,603.714,3.624,
PLOT,70,943.523,383.73,54.375,4.736,23.971,40.104,629.793,699.638,4.047,
PLOT,71,1796.492,149.243,42.493,3.553,16.967,89.56,1610.511,436.241,5.793,
PLOT,72,633.731,470.396,82.388,0.487,25.341,45.496,1458.904,349.698,0.338,
PLOT,73,386.189,1714.254,83.904,0.74,25.966,30.533,696.18,735.636,6.035,
PLOT,74,1340.352,1345.153,46.941,0.936,32.612,57.035,1843.343,634.333,3.78,
PLOT,75,80.87,56.779,46.312,2.506,19.274,32.403,602.893,441.132,3.249,
PLOT,76,814.711,845.585,50.147,0.593,25.583,86.566,1585.86,682.657,1.881,
PLOT,77,1765.361,1046.511,13.101,4.934,23.093,38.848,1561.405,460.24,4.233,
PLOT,78,549.177,291.507,62.642,3.312,22.788,88.455,819.798,373.058,2.016,
PLOT,79,427.141,1835.236,15.518,0.359,22.558,82.956,802.144,536.436,8.859,
PLOT,80,17.915,470.225,29.943,3.774,33.442,54.802,700.637,386.258,5.834,
PLOT,81,413.229,1464.659,81.171,1.859,31.236,76.293,1590.389,700.37,3.923,
PLOT,82,685.815,748.804,11.76,2.583,20.057,83.305,1663.996,736.457,6.273,
PLOT,83,1810.879,321.75,86.643,1.832,15.967,41.707,846.945,372.021,6.344,
PLOT,84,574.786,1794.989,13.044,2.373,20.251,63.318,116.516,516.043,2.335,
PLOT,85,170.204,1594.147,58.628,2.518,17.432,61.822,335.391,541.304,3.664,
