command,u,v,cost,benefit,extra
INIT,1000,4998,,,
EDGE,234,456,3675,92.35,
EDGE,934,684,13961,69.5,
EDGE,909,341,22280,34.49,
EDGE,598,273,4009,82.4,
EDGE,600,822,15233,28.22,
EDGE,793,706,6803,56.88,
EDGE,90,385,14219,93.16,
EDGE,313,192,17348,97.65,
EDGE,600,903,10134,64.58,
EDGE,394,127,5271,68.13,
EDGE,643,562,3113,82.33,
EDGE,293,921,15708,66.45,
EDGE,701,930,21912,64.28,
EDGE,162,141,10119,59.68,
EDGE,582,171,18105,60.6,
EDGE,206,628,12462,54.39,
EDGE,759,807,10925,50.19,
EDGE,369,800,11384,7.34,
EDGE,61,655,6983,10.26,
EDGE,592,183,14714,89.1,
EDGE,560,810,17746,25.66,
EDGE,920,595,5316,99.16,
EDGE,486,396,5430,17.0,
EDGE,414,513,6041,41.85,
EDGE,852,458,14630,64.2,
EDGE,279,295,8610,18.19,
EDGE,65,828,13238,85.69,
EDGE,784,807,17134,6.93,
EDGE,910,534,8192,47.87,
EDGE,366,382,5167,50.0,
EDGE,919,235,8219,77.4,
EDGE,599,684,9504,68.05,
EDGE,91,389,16495,64.27,
EDGE,861,317,16422,48.97,
EDGE,182,306,13122,79.08,
EDGE,783,176,10048,53.73,
EDGE,703,91,9187,34.55,
EDGE,804,696,12120,64.68,
EDGE,548,179,14801,77.98,
EDGE,755,671,12546,86.43,
EDGE,817,547,8036,42.42,
EDGE,607,383,11212,73.13,
EDGE,193,279,14070,29.66,
EDGE,53,688,11988,63.89,
EDGE,745,350,14692,56.96,
EDGE,724,603,6497,16.31,
EDGE,21,254,12384,35.51,
EDGE,714,749,4901,84.73,
EDGE,75,978,12186,2.86,
EDGE,220,226,15264,27.54,
EDGE,388,736,13809,35.36,
EDGE,600,292,3739,62.36,
EDGE,22,995,11798,53.51,
EDGE,238,719,23210,4.27,
EDGE,34,663,5853,57.99,
EDGE,841,417,7491,76.8,
EDGE,821,834,9229,42.03,
EDGE,360,85,6537,56.17,
EDGE,274,248,14104,88.14,
EDGE,937,720,14322,44.39,
EDGE,404,207,6502,68.86,
EDGE,843,121,3958,31.0,
EDGE,366,316,16796,26.64,
EDGE,904,828,23443,37.83,
EDGE,673,710,10543,87.42,
EDGE,52,620,6247,79.66,
EDGE,949,204,4599,90.88,
EDGE,886,266,5714,15.67,
EDGE,347,906,12812,26.04,
EDGE,704,331,15421,53.51,
EDGE,46,575,14128,33.06,
EDGE,449,769,16215,12.78,
EDGE,406,530,10302,87.35,
EDGE,963,93,18161,71.95,
EDGE,210,549,5895,86.57,
EDGE,637,527,12335,67.62,
EDGE,933,90,11823,9.46,
EDGE,437,810,6166,96.1,
EDGE,572,707,4264,40.35,
EDGE,734,50,7014,11.9,
EDGE,585,462,13297,63.8,
EDGE,795,776,4912,40.54,
EDGE,623,991,12774,9.17,
EDGE,582,646,21183,78.6,
EDGE,891,179,7389,61.7,
EDGE,150,440,12708,2.37,
EDGE,271,240,17394,25.84,
EDGE,947,626,13981,99.14,
EDGE,441,936,1919,48.11,
EDGE,107,901,2353,78.66,
EDGE,330,187,10715,73.4,
EDGE,90,155,6556,1.85,
EDGE,721,493,21520,88.11,
EDGE,977,148,6229,61.46,
EDGE,784,644,8225,19.06,
EDGE,89,550,11479,93.18,
EDGE,526,727,14617,97.6,
EDGE,274,206,9061,76.24,
EDGE,64,97,16627,22.2,
EDGE,822,754,9810,67.98,
EDGE,442,657,16087,66.6,
EDGE,890,424,7526,59.68,
EDGE,51,902,7481,43.09,
EDGE,471,726,16318,88.71,
EDGE,646,128,7077,44.54,
EDGE,924,414,4938,41.42,
EDGE,810,550,5496,61.24,
EDGE,358,600,4033,91.29,
EDGE,807,49,1355,41.35,
EDGE,597,966,5238,98.82,
EDGE,113,346,15346,26.61,
EDGE,818,731,14043,33.82,
EDGE,500,550,12577,40.52,
EDGE,43,363,10898,67.24,
EDGE,885,614,7746,16.55,
EDGE,476,123,13436,44.05,
EDGE,128,490,13451,69.17,
EDGE,604,643,15677,41.63,
EDGE,883,812,9237,48.4,
EDGE,587,548,7244,73.85,
EDGE,831,861,12957,78.13,
EDGE,717,19,2101,90.29,
EDGE,217,203,8396,5.48,
EDGE,217,194,16550,40.43,
EDGE,813,199,4232,36.7,
EDGE,278,552,10194,9.36,
EDGE,816,712,16791,63.37,
EDGE,814,349,12998,18.15,
EDGE,974,162,21220,3.28,
EDGE,35,947,964,30.05,
EDGE,443,48,6478,1.25,
EDGE,660,738,12465,9.41,
EDGE,248,613,8963,37.91,
EDGE,709,680,9069,50.99,
EDGE,230,479,11134,37.54,
EDGE,845,563,12992,42.13,
EDGE,664,865,18740,90.08,
EDGE,540,703,11013,24.49,
EDGE,391,922,17339,44.74,
EDGE,844,586,6403,72.0,
EDGE,773,62,8012,78.21,
EDGE,177,717,11812,7.32,
EDGE,141,810,4823,51.09,
EDGE,535,457,2353,79.99,
EDGE,957,367,21626,36.12,
EDGE,7,2,6827,14.77,
EDGE,720,69,4946,38.48,
EDGE,679,630,13948,68.76,
EDGE,801,118,17149,99.12,
EDGE,408,671,12096,17.94,
EDGE,872,399,3366,85.99,
EDGE,589,537,12177,99.63,
EDGE,538,623,15419,75.24,
EDGE,3,493,10784,73.97,
EDGE,511,476,12727,7.82,
EDGE,626,989,7908,43.24,
EDGE,925,933,13369,5.97,
EDGE,833,462,14524,93.55,
EDGE,371,669,18432,21.63,
EDGE,243,207,11369,39.84,
EDGE,533,697,6815,59.66,
EDGE,487,959,19296,46.75,
EDGE,219,156,10325,17.47,
EDGE,291,236,6395,80.25,
EDGE,814,346,16211,73.39,
EDGE,173,335,7010,86.72,
EDGE,93,852,9422,3.24,
EDGE,849,138,13437,54.33,
EDGE,296,379,15090,81.22,
EDGE,359,483,2266,81.85,
EDGE,193,216,5756,54.96,
EDGE,268,485,12917,17.12,
EDGE,16,412,15552,51.98,
EDGE,743,143,6923,37.14,
EDGE,815,129,12328,73.67,
EDGE,134,718,5617,22.15,
EDGE,863,981,11360,51.32,
EDGE,696,530,17828,4.3,
EDGE,308,820,5718,46.86,
EDGE,117,543,7391,35.26,
EDGE,224,798,6625,20.6,
EDGE,382,65,11728,62.93,
EDGE,796,359,9178,70.34,
EDGE,781,769,8296,81.29,
EDGE,320,41,11410,35.21,
EDGE,534,226,13648,29.26,
EDGE,589,850,4483,26.45,
