command,node_id,x,y,wind,importance,extra
BASE,0,5000,5000,0.0,10,
WAYPOINT,1,2059.623,3974.455,16.3,4,
WAYPOINT,2,95.985,6245.053,19.827,7,
WAYPOINT,3,5141.592,2370.159,12.4,9,
WAYPOINT,4,641.946,6103.535,7.786,4,
WAYPOINT,5,1375.85,1470.876,13.086,2,
WAYPOINT,6,9451.389,5783.156,7.328,3,
WAYPOINT,7,500.556,7046.691,14.306,2,
WAYPOINT,8,6771.091,1365.773,5.831,5,
WAYPOINT,9,3842.664,2333.499,11.845,4,
WAYPOINT,10,1460.714,6167.729,2.579,1,
WAYPOINT,11,12.694,9035.375,13.297,7,
WAYPOINT,12,7858.871,184.395,11.474,7,
WAYPOINT,13,109.204,2659.569,17.571,5,
WAYPOINT,14,5054.133,235.212,9.773,8,
WAYPOINT,15,3293.06,1917.139,3.094,9,
WAYPOINT,16,8754.386,7917.121,2.276,9,
WAYPOINT,17,4068.637,3281.048,15.788,6,
WAYPOINT,18,8786.362,7627.345,4.094,1,
WAYPOINT,19,4560.929,2216.662,3.039,2,
WAYPOINT,20,4690.169,3461.475,19.073,10,
WAYPOINT,21,4420.327,4372.382,8.187,8,
WAYPOINT,22,7433.353,976.768,11.294,2,
WAYPOINT,23,6345.497,6493.111,5.903,8,
WAYPOINT,24,5701.088,1448.248,11.431,1,
WAYPOINT,25,7597.669,5863.524,14.3,2,
WAYPOINT,26,4657.979,5776.5,14.571,5,
WAYPOINT,27,2050.064,8380.519,5.268,5,
WAYPOINT,28,2775.323,4814.267,7.306,8,
WAYPOINT,29,740.799,2895.663,0.121,10,
WAYPOINT,30,7437.435,1444.909,10.962,3,
WAYPOINT,31,8366.611,7658.979,3.218,10,
WAYPOINT,32,4644.575,2708.157,4.866,9,
WAYPOINT,33,4214.787,3730.42,10.376,8,
WAYPOINT,34,7407.967,283.743,2.566,9,
WAYPOINT,35,4405.023,2128.788,8.922,10,
WAYPOINT,36,5383.345,1161.433,5.632,8,
WAYPOINT,37,2544.014,7852.653,15.345,8,
WAYPOINT,38,3583.891,4423.379,14.582,5,
WAYPOINT,39,3260.269,418.824,15.84,9,
WAYPOINT,40,3368.783,9258.659,19.796,9,
WAYPOINT,41,2470.9,8875.331,8.733,3,
WAYPOINT,42,2476.259,3898.048,10.656,6,
WAYPOINT,43,6892.629,6039.62,15.489,1,
WAYPOINT,44,2704.459,4304.087,0.202,10,
WAYPOINT,45,3312.942,7782.359,1.62,3,
WAYPOINT,46,7046.819,5792.566,17.533,7,
WAYPOINT,47,6186.438,8834.458,17.785,8,
WAYPOINT,48,5885.326,3401.439,13.636,6,
WAYPOINT,49,1448.149,6330.634,11.674,2,
WAYPOINT,50,7234.498,9102.83,14.53,5,
WAYPOINT,51,738.456,6956.841,14.836,5,
WAYPOINT,52,1632.334,4105.745,7.574,3,
WAYPOINT,53,6686.714,4271.944,1.765,6,
WAYPOINT,54,4657.225,9218.513,4.565,5,
WAYPOINT,55,9954.054,3022.64,16.73,10,
WAYPOINT,56,4759.406,8728.44,19.006,4,
WAYPOINT,57,4662.486,8340.784,12.053,9,
WAYPOINT,58,9715.351,9927.292,2.344,9,
WAYPOINT,59,199.569,1826.223,1.398,4,
WAYPOINT,60,6775.372,3326.33,6.189,3,
WAYPOINT,61,8688.963,4430.59,10.227,5,
WAYPOINT,62,1310.18,1746.121,5.829,4,
WAYPOINT,63,3665.185,8144.719,19.216,8,
WAYPOINT,64,1885.637,4255.036,1.87,6,
WAYPOINT,65,7414.7,296.737,19.379,3,
WAYPOINT,66,6936.359,9957.554,12.494,7,
WAYPOINT,67,5611.487,27.162,5.414,6,
WAYPOINT,68,2335.919,8382.482,0.336,7,
WAYPOINT,69,8421.23,5684.559,12.241,4,
WAYPOINT,70,3079.995,4181.632,18.761,6,
WAYPOINT,71,8077.209,4280.568,14.832,10,
WAYPOINT,72,4663.37,5292.1,2.657,2,
WAYPOINT,73,5904.744,3530.017,14.808,10,
WAYPOINT,74,201.02,9539.839,13.729,8,
WAYPOINT,75,3870.703,4775.85,12.257,6,
WAYPOINT,76,6163.096,8781.09,10.491,1,
WAYPOINT,77,9773.235,2367.132,12.849,2,
WAYPOINT,78,4536.578,1858.25,7.525,9,
WAYPOINT,79,8506.804,1165.74,10.59,9,
WAYPOINT,80,1382.538,2999.039,18.866,3,
WAYPOINT,81,2729.494,2492.744,12.227,2,
WAYPOINT,82,3776.435,999.72,7.34,3,
WAYPOINT,83,8531.484,5719.045,18.944,4,
WAYPOINT,84,8042.916,3171.606,8.574,8,
WAYPOINT,85,6216.803,9020.817,19.602,4,
WAYPOINT,86,2735.21,9655.038,14.672,3,
WAYPOINT,87,7297.883,2758.815,5.992,2,
WAYPOINT,88,1241.481,2713.982,1.785,10,
WAYPOINT,89,1667.733,3180.72,8.2,4,
WAYPOINT,90,8739.639,8989.694,6.229,1,
WAYPOINT,91,1041.827,8921.671,15.575,10,
WAYPOINT,92,5946.521,7848.262,11.57,4,
WAYPOINT,93,162.814,24.577,10.869,2,
WAYPOINT,94,8097.324,8215.068,4.073,10,
WAYPOINT,95,5944.644,2514.534,19.946,3,
WAYPOINT,96,12.37,4833.693,16.392,8,
WAYPOINT,97,5035.521,4408.472,15.45,7,
WAYPOINT,98,6541.664,4742.37,0.353,9,
WAYPOINT,99,286.639,3179.977,8.27,8,
WAYPOINT,100,7613.26,2552.54,18.721,4,
WAYPOINT,101,120.225,6446.451,8.545,9,
WAYPOINT,102,3441.085,1964.659,6.366,6,
WAYPOINT,103,7829.149,7396.479,5.086,1,
WAYPOINT,104,7812.643,938.124,19.55,10,
WAYPOINT,105,8882.262,5780.893,2.125,2,
WAYPOINT,106,8864.306,3174.588,13.652,1,
WAYPOINT,107,3806.165,7565.314,5.029,4,
WAYPOINT,108,5844.296,3956.975,18.776,3,
WAYPOINT,109,8268.537,5301.928,12.64,3,
WAYPOINT,110,9205.901,3276.125,11.614,5,
WAYPOINT,111,9045.243,335.014,9.408,8,
WAYPOINT,112,9350.295,4342.867,19.952,4,
WAYPOINT,113,4173.007,6088.636,1.241,1,
WAYPOINT,114,2706.344,7466.683,13.373,8,
WAYPOINT,115,3051.19,1514.603,18.806,2,
WAYPOINT,116,2531.025,1504.849,11.742,8,
WAYPOINT,117,470.698,4708.811,6.683,4,
WAYPOINT,118,624.638,4724.949,2.096,3,
WAYPOINT,119,3542.185,6073.775,5.745,3,
WAYPOINT,120,9328.037,5451.416,0.852,1,
WAYPOINT,121,254.779,3747.579,11.408,3,
WAYPOINT,122,697.283,8254.327,18.903,5,
WAYPOINT,123,417.644,4313.812,8.346,6,
WAYPOINT,124,1616.214,487.857,6.482,6,
WAYPOINT,125,7462.152,6006.475,10.711,2,
WAYPOINT,126,1018.649,9848.113,1.972,5,
WAYPOINT,127,9812.473,8869.539,14.408,5,
