command,u,v,loss,line_capacity,timestamp,battery_id,charge_change,battery_capacity,price,extra
INIT,1000,4988,,,,,,,,
EDGE,363,848,0.00976,64,,,,,,
EDGE,381,370,0.01383,133,,,,,,
EDGE,672,11,0.0102,368,,,,,,
EDGE,626,364,0.02681,341,,,,,,
EDGE,930,532,0.031,333,,,,,,
EDGE,58,839,0.03112,153,,,,,,
EDGE,14,1,0.01574,348,,,,,,
EDGE,132,301,0.04974,389,,,,,,
EDGE,234,880,0.02137,306,,,,,,
EDGE,690,926,0.03148,96,,,,,,
EDGE,482,772,0.00902,243,,,,,,
EDGE,347,795,0.03228,228,,,,,,
EDGE,576,192,0.02821,240,,,,,,
EDGE,243,283,0.04409,419,,,,,,
EDGE,495,701,0.0412,294,,,,,,
EDGE,299,224,0.01831,461,,,,,,
EDGE,501,188,0.02969,286,,,,,,
EDGE,531,555,0.03324,420,,,,,,
EDGE,97,61,0.03692,472,,,,,,
EDGE,501,641,0.04656,156,,,,,,
EDGE,751,949,0.03689,385,,,,,,
EDGE,397,848,0.047,446,,,,,,
EDGE,683,378,0.03816,322,,,,,,
EDGE,868,805,0.01452,151,,,,,,
EDGE,899,417,0.04332,113,,,,,,
EDGE,854,883,0.03055,444,,,,,,
EDGE,665,701,0.0204,74,,,,,,
EDGE,589,67,0.02911,167,,,,,,
EDGE,292,892,0.00567,416,,,,,,
EDGE,849,576,0.03713,290,,,,,,
EDGE,433,237,0.04601,441,,,,,,
EDGE,842,736,0.00133,278,,,,,,
EDGE,100,82,0.04051,242,,,,,,
EDGE,341,846,0.03185,146,,,,,,
EDGE,919,351,0.03632,500,,,,,,
EDGE,799,770,0.04935,466,,,,,,
EDGE,342,262,0.02241,306,,,,,,
EDGE,884,212,0.04874,279,,,,,,
EDGE,27,16,0.03544,138,,,,,,
EDGE,852,616,0.0086,101,,,,,,
EDGE,923,695,0.0134,409,,,,,,
EDGE,482,570,0.00891,296,,,,,,
EDGE,800,9,0.0023,132,,,,,,
EDGE,808,814,0.03344,264,,,,,,
EDGE,47,473,0.01585,326,,,,,,
EDGE,926,138,0.036,241,,,,,,
EDGE,958,770,0.01919,173,,,,,,
EDGE,47,791,0.00206,409,,,,,,
EDGE,526,191,0.02855,270,,,,,,
EDGE,947,890,0.04061,196,,,,,,
EDGE,913,595,0.00601,195,,,,,,
EDGE,3,481,0.03842,356,,,,,,
EDGE,599,351,0.0399,258,,,,,,
EDGE,814,945,0.03995,333,,,,,,
EDGE,362,634,0.00178,250,,,,,,
EDGE,250,748,0.01788,223,,,,,,
EDGE,787,556,0.03892,437,,,,,,
EDGE,65,478,0.02856,236,,,,,,
EDGE,198,792,0.04597,322,,,,,,
EDGE,359,784,0.00175,133,,,,,,
EDGE,16,931,0.02151,114,,,,,,
EDGE,918,900,0.02107,350,,,,,,
EDGE,912,815,0.04601,492,,,,,,
EDGE,921,416,0.03334,190,,,,,,
EDGE,113,865,0.00766,394,,,,,,
EDGE,96,172,0.04342,336,,,,,,
EDGE,366,805,0.03738,120,,,,,,
EDGE,856,508,0.01315,65,,,,,,
EDGE,567,991,0.01466,142,,,,,,
EDGE,927,633,0.03046,291,,,,,,
EDGE,464,488,0.00609,316,,,,,,
EDGE,317,407,0.01386,217,,,,,,
EDGE,37,719,0.04081,375,,,,,,
EDGE,574,686,0.03512,234,,,,,,
EDGE,166,982,0.01157,79,,,,,,
EDGE,722,839,0.02459,382,,,,,,
EDGE,751,516,0.04964,115,,,,,,
EDGE,5,377,0.04495,358,,,,,,
EDGE,22,628,0.00682,175,,,,,,
EDGE,204,682,0.0366,69,,,,,,
EDGE,280,983,0.02012,215,,,,,,
EDGE,658,887,0.03012,370,,,,,,
EDGE,165,641,0.03273,460,,,,,,
EDGE,666,978,0.04869,114,,,,,,
EDGE,304,782,0.03831,403,,,,,,
EDGE,406,677,0.00471,455,,,,,,
EDGE,312,55,0.03582,189,,,,,,
EDGE,476,68,0.02518,316,,,,,,
EDGE,65,785,0.03485,433,,,,,,
EDGE,304,465,0.01291,361,,,,,,
EDGE,519,253,0.00513,104,,,,,,
EDGE,72,99,0.03756,149,,,,,,
EDGE,591,872,0.02705,117,,,,,,
EDGE,540,313,0.01231,143,,,,,,
EDGE,565,543,0.04249,72,,,,,,
EDGE,881,51,0.00539,81,,,,,,
EDGE,385,522,0.04629,412,,,,,,
EDGE,42,727,0.02986,428,,,,,,
EDGE,122,660,0.0064,249,,,,,,
EDGE,844,967,0.0089,260,,,,,,
EDGE,109,268,0.0229,164,,,,,,
EDGE,669,945,0.0012,395,,,,,,
EDGE,508,293,0.01524,356,,,,,,
EDGE,433,817,0.03873,294,,,,,,
EDGE,894,17,0.00819,240,,,,,,
EDGE,221,517,0.03513,223,,,,,,
EDGE,600,198,0.00589,222,,,,,,
EDGE,571,594,0.01705,247,,,,,,
EDGE,948,580,0.00524,436,,,,,,
EDGE,642,126,0.03093,457,,,,,,
EDGE,941,325,0.01556,161,,,,,,
EDGE,46,349,0.02432,311,,,,,,
EDGE,556,387,0.0265,116,,,,,,
EDGE,447,704,0.01291,370,,,,,,
EDGE,545,926,0.00616,263,,,,,,
EDGE,10,979,0.03326,51,,,,,,
EDGE,342,199,0.00129,307,,,,,,
EDGE,667,857,0.0301,96,,,,,,
EDGE,452,739,0.04736,92,,,,,,
EDGE,468,685,0.03106,458,,,,,,
EDGE,890,325,0.02808,384,,,,,,
EDGE,786,522,0.01543,108,,,,,,
EDGE,602,582,0.02201,334,,,,,,
EDGE,790,432,0.0046,412,,,,,,
EDGE,444,313,0.00108,330,,,,,,
EDGE,844,829,0.02421,325,,,,,,
EDGE,665,126,0.0315,419,,,,,,
EDGE,243,611,0.01312,140,,,,,,
EDGE,475,621,0.04548,159,,,,,,
EDGE,141,995,0.01286,86,,,,,,
EDGE,773,204,0.02964,420,,,,,,
EDGE,623,535,0.04217,261,,,,,,
EDGE,530,473,0.0347,179,,,,,,
EDGE,21,109,0.01188,196,,,,,,
EDGE,716,323,0.04417,145,,,,,,
EDGE,246,457,0.02333,238,,,,,,
EDGE,296,458,0.00107,446,,,,,,
EDGE,70,591,0.00899,99,,,,,,
EDGE,158,505,0.03747,421,,,,,,
EDGE,391,37,0.02059,386,,,,,,
EDGE,855,483,0.01528,478,,,,,,
EDGE,416,214,0.03318,418,,,,,,
EDGE,929,627,0.00597,399,,,,,,
EDGE,573,217,0.00177,489,,,,,,
EDGE,266,101,0.01687,475,,,,,,
EDGE,515,790,0.04101,481,,,,,,
EDGE,276,266,0.03954,129,,,,,,
EDGE,837,744,0.01599,381,,,,,,
EDGE,431,147,0.03417,144,,,,,,
EDGE,972,441,0.04589,451,,,,,,
EDGE,982,539,0.02605,258,,,,,,
EDGE,193,399,0.0174,237,,,,,,
EDGE,227,483,0.0389,107,,,,,,
EDGE,127,752,0.01192,351,,,,,,
EDGE,263,167,0.04765,367,,,,,,
EDGE,451,497,0.00611,193,,,,,,
EDGE,687,389,0.03448,106,,,,,,
EDGE,990,531,0.03934,497,,,,,,
EDGE,49,636,0.04001,135,,,,,,
EDGE,432,563,0.04918,391,,,,,,
EDGE,895,865,0.03439,122,,,,,,
EDGE,116,474,0.02603,397,,,,,,
EDGE,680,64,0.01278,279,,,,,,
EDGE,471,407,0.01912,336,,,,,,
EDGE,224,24,0.01895,475,,,,,,
EDGE,257,476,0.00127,221,,,,,,
EDGE,356,37,0.04629,315,,,,,,
EDGE,377,616,0.02888,108,,,,,,
EDGE,260,7,0.02437,343,,,,,,
EDGE,744,335,0.03026,176,,,,,,
EDGE,386,497,0.00552,398,,,,,,
EDGE,564,776,0.04751,373,,,,,,
EDGE,511,496,0.03489,60,,,,,,
EDGE,457,337,0.04938,192,,,,,,
EDGE,558,844,0.0193,491,,,,,,
EDGE,543,74,0.04695,127,,,,,,
EDGE,321,880,0.04821,362,,,,,,
EDGE,845,345,0.01867,283,,,,,,
EDGE,186,67,0.03844,310,,,,,,
EDGE,220,875,0.02411,408,,,,,,
EDGE,246,276,0.0395,127,,,,,,
EDGE,900,776,0.0299,213,,,,,,
EDGE,425,809,0.00873,385,,,,,,
EDGE,738,167,0.01343,485,,,,,,
EDGE,757,61,0.00619,471,,,,,,
EDGE,958,105,0.04333,482,,,,,,
EDGE,111,450,0.03081,122,,,,,,
