command,timestamp,sensor_id,pm25,pm10,no2,so2,o3,temp,extra
SENSOR,1735689600,40,126.094,157.575,135.708,108.081,33.179,21.994,
SENSOR,1735689630,104,232.082,98.208,92.407,133.87,112.931,3.67,
SENSOR,1735689660,62,41.293,152.165,93.868,51.18,177.188,26.536,
SENSOR,1735689690,143,101.742,233.799,173.12,128.435,3.464,41.734,
SENSOR,1735689720,160,174.46,171.103,100.755,32.513,126.894,28.31,
SENSOR,1735689750,150,214.729,210.075,104.489,36.336,56.502,22.821,
SENSOR,1735689780,27,206.141,287.132,65.412,114.207,161.471,14.874,
SENSOR,1735689810,163,141.188,114.714,107.187,62.124,172.591,7.228,
SENSOR,1735689840,192,131.108,40.419,166.249,77.696,0.687,42.159,
SENSOR,1735689870,147,116.065,185.129,107.975,30.867,18.181,5.428,
SENSOR,1735689900,151,235.415,2.025,59.346,74.516,32.563,42.362,
SENSOR,1735689930,147,249.029,51.201,12.271,111.795,99.015,24.397,
SENSOR,1735689960,160,68.339,210.779,75.425,19.14,11.609,-3.996,
SENSOR,1735689990,35,4.652,296.493,187.373,133.397,170.634,3.94,
SENSOR,1735690020,99,193.818,69.751,43.406,68.971,38.673,37.72,
SENSOR,1735690050,1,95.297,273.871,82.761,138.786,62.13,35.942,
SENSOR,1735690080,152,174.563,29.495,191.709,67.619,166.815,21.332,
SENSOR,1735690110,40,44.936,20.919,160.55,37.719,142.851,-4.08,
SENSOR,1735690140,106,9.989,7.595,139.228,108.707,120.87,-3.727,
SENSOR,1735690170,143,241.403,64.712,58.01,51.253,26.818,20.534,
SENSOR,1735690200,134,241.259,2.451,94.658,51.52,50.257,21.747,
SENSOR,1735690230,110,36.913,284.525,21.548,42.047,17.004,40.785,
SENSOR,1735690260,10,124.709,229.186,61.545,2.359,30.316,27.081,
SENSOR,1735690290,84,1.762,175.297,10.129,61.059,174.825,33.459,
SENSOR,1735690320,158,242.907,104.308,31.289,125.519,19.028,36.57,
SENSOR,1735690350,126,70.842,274.01,126.247,48.758,99.028,27.483,
SENSOR,1735690380,101,213.347,164.077,90.829,147.657,153.143,37.718,
SENSOR,1735690410,121,103.974,139.575,117.824,77.899,45.395,7.147,
