pair_id,supplier_id,buyer_id,category,supplier_capacity,buyer_demand,min_price,max_price,quality_rating,distance_km,match_score
1,SUP0277,BUY0604,chemicals,4285,2537,123.54,130.58,4,63.2,1.172
2,SUP0356,BUY0390,chemicals,1882,3495,70.46,76.97,3,369.6,0.628
3,SUP0242,BUY0655,grain,1230,1255,29.24,29.86,2,330.8,0.744
4,SUP0244,BUY0539,steel,4492,2150,43.69,49.09,1,162.3,1.101
5,SUP0301,BUY0238,grain,4798,2639,42.33,43.85,3,264.7,1.107
6,SUP0260,BUY0018,electronics,496,1298,103.92,107.21,5,370.0,0.673
7,SUP0483,BUY0145,chemicals,1595,2634,67.49,75.44,3,77.0,0.739
8,SUP0303,BUY0552,chemicals,3701,36,188.67,208.66,3,118.1,1.215
9,SUP0365,BUY0270,grain,4524,2100,39.9,38.36,5,425.7,0.972
10,SUP0005,BUY0644,textiles,428,2162,55.53,57.05,5,210.4,0.656
11,SUP0372,BUY0683,electronics,1400,2624,280.88,304.0,5,159.2,0.789
12,SUP0173,BUY0268,grain,3501,1813,47.34,48.8,4,84.8,1.25
13,SUP0114,BUY0203,chemicals,4961,1117,200.24,210.28,2,174.1,1.148
14,SUP0331,BUY0057,grain,1370,2901,36.78,42.95,2,481.0,0.521
15,SUP0013,BUY0116,chemicals,1305,2072,131.96,145.68,5,224.6,0.803
16,SUP0402,BUY0648,textiles,4325,1710,85.44,96.04,2,167.6,1.15
17,SUP0298,BUY0645,grain,3283,3833,23.57,27.54,1,338.0,0.648
18,SUP0096,BUY0070,grain,3201,1839,38.82,45.39,5,86.2,1.233
19,SUP0499,BUY0539,chemicals,2034,3378,196.93,199.98,2,460.6,0.573
20,SUP0366,BUY0152,textiles,1119,2504,41.68,48.06,3,488.7,0.56
21,SUP0346,BUY0519,textiles,3335,817,69.19,79.98,5,262.0,1.271
22,SUP0064,BUY0386,electronics,207,1706,215.97,260.69,1,441.4,0.36
23,SUP0483,BUY0498,grain,2065,2410,41.67,43.6,5,375.5,0.837
24,SUP0442,BUY0241,chemicals,1973,2449,57.7,62.17,5,160.8,0.884
