order_id,customer_id,area_code,order_time_min,promised_time_min,prep_time_min,penalty_score,order_value,rider_id_assigned,status
ORD00001,CUST1430,NODE_11,352,389,32,2.0,734,RID0006,COOKING
ORD00002,CUST1464,NODE_29,231,279,34,0.61,353,-1,CANCELLED
ORD00003,CUST0586,NODE_17,202,249,31,1.59,493,RID0005,CANCELLED
ORD00004,CUST0339,NODE_14,1271,1308,16,0.82,797,RID0001,COOKING
ORD00005,CUST1954,NODE_27,812,844,27,1.98,622,RID0004,CANCELLED
ORD00006,CUST0739,NODE_21,259,302,23,1.86,407,-1,COOKING
ORD00007,CUST0289,NODE_05,570,612,19,1.9,347,-1,OUT_FOR_DELIVERY
ORD00008,CUST1183,NODE_23,420,448,32,0.6,532,RID0005,OUT_FOR_DELIVERY
ORD00009,CUST0268,NODE_09,355,385,26,1.84,700,RID0003,OUT_FOR_DELIVERY
ORD00010,CUST0221,NODE_18,765,799,33,0.55,695,-1,PENDING
ORD00011,CUST1346,NODE_20,269,311,31,0.73,562,RID0024,OUT_FOR_DELIVERY
ORD00012,CUST1338,NODE_27,539,589,13,1.46,672,-1,CANCELLED
ORD00013,CUST0372,NODE_06,1097,1136,23,1.8,288,RID0022,CANCELLED
ORD00014,CUST0811,NODE_11,495,523,26,0.78,779,RID0026,COOKING
ORD00015,CUST0511,NODE_10,367,409,28,1.13,335,RID0007,PENDING
ORD00016,CUST1875,NODE_21,847,882,24,1.39,725,-1,CANCELLED
ORD00017,CUST1867,NODE_24,1047,1080,24,1.25,632,-1,PENDING
ORD00018,CUST0117,NODE_08,1368,1398,32,1.04,297,-1,PENDING
ORD00019,CUST1080,NODE_21,299,336,13,1.44,435,RID0015,DELIVERED
ORD00020,CUST1131,NODE_09,1031,1060,31,1.1,418,RID0013,PENDING
ORD00021,CUST0400,NODE_06,399,430,33,0.68,454,-1,PENDING
ORD00022,CUST1348,NODE_05,701,745,31,0.76,689,-1,DELIVERED
ORD00023,CUST1455,NODE_18,1287,1324,28,1.1,855,RID0008,DELIVERED
ORD00024,CUST1710,NODE_05,1353,1399,13,1.69,247,-1,OUT_FOR_DELIVERY
ORD00025,CUST1878,NODE_10,956,984,13,0.82,227,RID0002,PENDING
ORD00026,CUST1072,NODE_13,1194,1239,19,1.63,625,RID0025,PENDING
ORD00027,CUST1186,NODE_14,945,982,24,1.25,516,RID0023,PENDING
ORD00028,CUST1736,NODE_23,294,344,22,1.48,883,RID0004,CANCELLED
ORD00029,CUST0688,NODE_27,49,87,13,1.11,405,RID0010,DELIVERED
ORD00030,CUST1656,NODE_09,547,587,19,1.96,684,-1,CANCELLED
ORD00031,CUST0772,NODE_27,758,785,19,1.39,513,RID0023,CANCELLED
ORD00032,CUST1970,NODE_05,307,354,20,1.14,534,RID0007,DELIVERED
ORD00033,CUST0545,NODE_03,441,483,26,1.42,172,-1,DELIVERED
ORD00034,CUST1195,NODE_26,141,168,32,1.27,541,RID0028,PENDING
ORD00035,CUST0569,NODE_13,29,75,27,0.75,810,-1,CANCELLED
ORD00036,CUST0633,NODE_26,387,413,28,1.0,415,RID0010,PENDING
ORD00037,CUST1805,NODE_08,272,319,16,1.68,163,RID0005,COOKING
ORD00038,CUST0858,NODE_10,621,662,32,1.11,778,RID0009,CANCELLED
ORD00039,CUST0667,NODE_21,1345,1390,17,1.79,538,-1,PENDING
ORD00040,CUST1943,NODE_19,939,975,12,0.51,732,RID0015,PENDING
ORD00041,CUST0134,NODE_09,76,112,22,0.87,250,RID0001,DELIVERED
ORD00042,CUST1424,NODE_09,45,81,19,0.84,300,RID0018,DELIVERED
ORD00043,CUST1638,NODE_12,510,539,28,1.2,630,RID0013,OUT_FOR_DELIVERY
