edge_id,farm_a_id,farm_b_id,farm_a_x,farm_a_y,farm_b_x,farm_b_y,terrain_a,terrain_b,distance_km,terrain_cost,total_cost
1,FARM030,FARM108,5.046,9.54,1.556,1.301,flat,hilly,8.948,1.3,11.632
2,FARM069,FARM021,1.822,8.15,8.996,8.657,hilly,rocky,7.192,2.1,15.103
3,FARM103,FARM001,9.523,2.99,9.099,6.3,rocky,rocky,3.337,2.6,8.676
4,FARM092,FARM087,9.192,6.703,4.674,7.021,flat,flat,4.529,1.0,4.529
5,FARM010,FARM035,2.352,0.894,3.595,8.158,flat,rocky,7.37,1.8,13.266
6,FARM028,FARM037,3.994,7.662,1.932,1.8,hilly,flat,6.214,1.3,8.078
7,FARM078,FARM039,3.719,7.562,7.071,9.518,flat,flat,3.881,1.0,3.881
8,FARM081,FARM065,7.256,2.528,3.363,0.201,flat,flat,4.535,1.0,4.535
9,FARM144,FARM102,1.802,6.411,1.201,7.741,hilly,hilly,1.459,1.6,2.334
10,FARM045,FARM120,1.916,3.915,5.235,5.823,flat,hilly,3.828,1.3,4.976
11,FARM132,FARM086,0.882,6.704,2.138,7.843,flat,flat,1.696,1.0,1.696
12,FARM134,FARM101,6.997,0.094,4.938,5.583,rocky,rocky,5.862,2.6,15.241
13,FARM048,FARM123,3.659,8.523,6.541,5.19,hilly,flat,4.406,1.3,5.728
14,FARM049,FARM025,4.671,7.767,6.983,4.942,rocky,hilly,3.65,2.1,7.665
15,FARM099,FARM128,0.193,7.394,7.206,2.25,rocky,hilly,8.697,2.1,18.264
16,FARM106,FARM021,8.105,1.505,1.618,1.475,flat,hilly,6.487,1.3,8.433
17,FARM042,FARM016,5.719,1.667,3.319,8.853,hilly,hilly,7.576,1.6,12.122
18,FARM120,FARM146,8.757,8.221,6.353,4.17,rocky,hilly,4.711,2.1,9.893
19,FARM021,FARM088,6.584,7.622,3.627,9.371,flat,hilly,3.436,1.3,4.467
20,FARM114,FARM089,2.412,5.33,5.573,7.215,flat,rocky,3.68,1.8,6.624
21,FARM140,FARM116,8.178,7.615,7.972,7.934,hilly,hilly,0.38,1.6,0.608
22,FARM031,FARM022,9.508,2.129,2.803,2.374,rocky,rocky,6.709,2.6,17.443
23,FARM017,FARM040,9.672,6.003,8.36,1.721,flat,hilly,4.478,1.3,5.821
24,FARM057,FARM135,0.743,1.601,8.829,8.294,flat,hilly,10.497,1.3,13.646
25,FARM047,FARM101,2.199,2.67,6.694,9.293,flat,hilly,8.004,1.3,10.405
26,FARM109,FARM063,3.912,7.047,0.21,4.652,flat,flat,4.409,1.0,4.409
27,FARM098,FARM054,6.008,4.082,0.796,6.034,rocky,flat,5.566,1.8,10.019
28,FARM061,FARM100,6.472,6.29,8.901,7.208,flat,flat,2.597,1.0,2.597
29,FARM024,FARM126,1.985,8.399,2.025,1.826,rocky,hilly,6.573,2.1,13.803
30,FARM025,FARM040,0.679,9.537,0.947,1.577,rocky,hilly,7.965,2.1,16.727
31,FARM084,FARM001,3.295,4.243,6.095,1.715,rocky,flat,3.772,1.8,6.79
32,FARM045,FARM132,9.329,3.042,0.283,1.845,flat,rocky,9.125,1.8,16.425
33,FARM120,FARM141,6.9,5.175,6.557,6.668,flat,hilly,1.532,1.3,1.992
34,FARM120,FARM127,2.069,3.124,2.46,2.759,hilly,hilly,0.535,1.6,0.856
35,FARM009,FARM081,6.89,2.66,3.296,7.577,hilly,flat,6.09,1.3,7.917
36,FARM056,FARM073,5.653,4.488,8.84,0.306,flat,rocky,5.258,1.8,9.464
37,FARM114,FARM137,1.683,2.093,7.297,5.708,rocky,hilly,6.677,2.1,14.022
38,FARM048,FARM048,0.276,4.716,5.213,0.917,hilly,flat,6.229,1.3,8.098
39,FARM077,FARM139,7.41,5.846,8.599,3.422,rocky,flat,2.7,1.8,4.86
40,FARM054,FARM107,0.115,3.861,8.338,1.257,rocky,rocky,8.625,2.6,22.425
41,FARM012,FARM054,7.69,3.005,7.609,3.878,hilly,rocky,0.877,2.1,1.842
42,FARM115,FARM026,2.743,3.207,9.002,1.584,hilly,rocky,6.466,2.1,13.579
43,FARM013,FARM140,0.504,3.572,2.331,6.147,hilly,flat,3.157,1.3,4.104
44,FARM140,FARM048,6.311,2.107,4.991,0.231,hilly,flat,2.294,1.3,2.982
45,FARM043,FARM099,4.118,5.424,3.644,5.547,rocky,rocky,0.49,2.6,1.274
46,FARM127,FARM066,7.171,0.513,8.61,0.764,rocky,flat,1.461,1.8,2.63
47,FARM012,FARM089,4.121,9.527,2.032,4.377,rocky,hilly,5.558,2.1,11.672
48,FARM067,FARM055,5.347,2.099,3.058,5.5,rocky,rocky,4.1,2.6,10.66
49,FARM043,FARM024,9.946,8.734,3.502,4.766,flat,hilly,7.568,1.3,9.838
50,FARM012,FARM055,0.901,2.453,5.503,7.138,hilly,flat,6.567,1.3,8.537
51,FARM070,FARM041,3.112,8.31,3.71,7.389,hilly,flat,1.098,1.3,1.427
52,FARM042,FARM100,6.759,2.117,7.039,6.446,hilly,flat,4.338,1.3,5.639
53,FARM077,FARM016,6.534,6.853,3.119,3.651,flat,rocky,4.681,1.8,8.426
54,FARM002,FARM031,9.44,1.312,2.62,3.942,flat,rocky,7.31,1.8,13.158
55,FARM017,FARM126,2.818,6.201,1.641,2.155,flat,hilly,4.214,1.3,5.478
56,FARM023,FARM029,4.35,1.914,5.265,4.606,rocky,rocky,2.843,2.6,7.392
57,FARM120,FARM066,4.754,8.688,3.172,7.992,rocky,hilly,1.728,2.1,3.629
58,FARM021,FARM058,7.367,3.914,6.294,6.836,hilly,hilly,3.113,1.6,4.981
59,FARM013,FARM024,9.686,3.038,8.911,5.008,rocky,rocky,2.117,2.6,5.504
60,FARM122,FARM061,0.034,2.899,1.334,8.049,flat,rocky,5.312,1.8,9.562
61,FARM078,FARM060,2.019,8.189,6.997,5.795,flat,hilly,5.524,1.3,7.181
62,FARM019,FARM123,2.372,2.744,8.442,6.501,flat,rocky,7.139,1.8,12.85
63,FARM078,FARM034,3.934,3.339,7.259,1.641,rocky,hilly,3.733,2.1,7.839
64,FARM060,FARM119,3.433,0.174,1.654,9.977,hilly,flat,9.963,1.3,12.952
65,FARM098,FARM047,8.628,9.678,2.869,6.33,flat,hilly,6.661,1.3,8.659
66,FARM028,FARM024,4.0,7.122,1.422,5.368,rocky,flat,3.118,1.8,5.612
67,FARM036,FARM118,6.661,2.294,1.835,4.245,flat,flat,5.205,1.0,5.205
